loinc_num;copra_id;loinc_long_common_name;copra_description;accuracy;is_match;id
378-0;103296;Oleandomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;540
382-2;103296;Oxacillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;541
386-3;103296;Oxytetracyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;542
391-3;103296;Penicillin G [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;543
395-4;103296;Penicillin V [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;544
39-8;103296;Azlocillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;545
399-6;103296;Phenethicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;546
407-7;103296;Piperacillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;547
411-9;103296;Piperacillin+Tazobactam [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;548
415-0;103296;Pivampicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;549
419-2;103296;Polymyxin B [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;550
423-4;103296;Pyrazinamid [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;551
427-5;103296;Rifampicin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;552
43-0;103296;Aztreonam [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;553
43270-8;103296;Ceftobiprol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;554
435-8;103296;Rolitetracyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;555
439-0;103296;Rosoxacin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;556
443-2;103296;Roxithromycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;557
447-3;103296;Sisomicin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;558
451-5;103296;Spectinomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;559
455-6;103296;Spiramycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;560
459-8;103296;Streptomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;561
463-0;103296;Sulfadiazin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;562
467-1;103296;Sulfamethoxazol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;563
47-1;103296;Bacampicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;564
471-3;103296;Sulfisoxazol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;565
475-4;103296;Sulfonamid [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;566
479-6;103296;Talampicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;567
483-8;103296;Teicoplanin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;568
487-9;103296;Temafloxacin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;569
491-1;103296;Temocillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;570
495-2;103296;Tetracyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;571
499-4;103296;Ticarcillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;572
503-3;103296;Ticarcillin+Clavulanat [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;573
507-4;103296;Tobramycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;574
511-6;103296;Trimethoprim [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;575
515-7;103296;Trimethoprim+Sulfamethoxazol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;576
519-9;103296;Troleandomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;577
523-1;103296;Vancomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;578
55-4;103296;Capreomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;579
59-6;103296;Carbenicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;580
59833-4;103296;Anderes Antibiotikum [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;581
63-8;103296;Cefadroxil [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;582
6643-1;103296;Cefepim [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;583
6651-4;103296;Meropenem [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;584
67-9;103296;Cefamandol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;585
71-1;103296;Cefatrizin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;586
75-2;103296;Cefazolin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;587
79-4;103296;Cefixim [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;588
8274-3;103296;Cefpirom [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;589
83-6;103296;Cefaclor [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;590
87-7;103296;Cefmetazol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;591
91-9;103296;Cefodizim [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;592
95-0;103296;Cefonicid [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;593
99-2;103296;Cefoperazon [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Frischgases;63;Nein;594
103-2;103267;Ceforanid [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;595
107-3;103267;Cefotaxim [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;596
111-5;103267;Cefotetan [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;597
115-6;103267;Cefoxitin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;598
11-7;103267;Amikacin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;599
119-8;103267;Cefpodoxim [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;600
123-0;103267;Cefprozil [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;601
127-1;103267;Cefsulodin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;602
132-1;103267;Ceftazidim [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;603
136-2;103267;Ceftizoxim [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;604
140-4;103267;Ceftriaxon [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;605
144-6;103267;Cefuroxim parenteral [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;606
148-7;103267;Cephalexin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;607
156-0;103267;Cephaloridin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;608
15-8;103267;Amoxicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;609
160-2;103267;Cephalothin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;610
164-4;103267;Cephapirin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;611
168-5;103267;Cephradin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;612
172-7;103267;Chloramphenicol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;613
176-8;103267;Chlortetracyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;614
180-0;103267;Cinoxacin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;615
184-2;103267;Ciprofloxacin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;616
188-3;103267;Clarithromycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;617
19-0;103267;Amoxicillin+Clavulanat [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;618
192-5;103267;Clindamycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;619
196-6;103267;Cloxacillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;620
204-8;103267;Colistin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;621
212-1;103267;Cycloserin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;622
216-2;103267;Demeclocyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;623
220-4;103267;Dicloxacillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;624
224-6;103267;Doxycyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;625
228-7;103267;Enoxacin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;626
23-2;103267;Amphotericin B [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;627
232-9;103267;Erythromycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;628
236-0;103267;Erythromycin+Sulfisoxazol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;629
240-2;103267;Ethambutol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;630
257-6;103267;Framycetin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;631
261-8;103267;Fusidat [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;632
266-7;103267;Gentamicin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;633
270-9;103267;Gramicidin D [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;634
27-3;103267;Ampicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;635
274-1;103267;Hetacillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;636
278-2;103267;Imipenem [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;637
286-5;103267;Isoniazid [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;638
290-7;103267;Kanamycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;639
294-9;103267;Ketoconazol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;640
298-0;103267;Lincomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;641
302-0;103267;Lomefloxacin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;642
306-1;103267;Loracarbef [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;643
310-3;103267;Lymecyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;644
314-5;103267;Meclocyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;645
31-5;103267;Ampicillin+Sulbactam [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;646
3150-0;103267;Inhalierte Sauerstoffkonzentration;eingestellte O2 Konzentration des Gases;61;Nein;647
318-6;103267;Methacyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;648
322-8;103267;Methicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;649
326-9;103267;Metronidazol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;650
330-1;103267;Mezlocillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;651
334-3;103267;Minocyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;652
338-4;103267;Miocamycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;653
346-7;103267;Nafcillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;654
354-1;103267;Neomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;655
35-6;103267;Azithromycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;656
358-2;103267;Netilmicin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;657
362-4;103267;Nitrofurantoin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;658
366-5;103267;Norfloxacin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;659
374-9;103267;Ofloxacin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;660
378-0;103267;Oleandomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;661
382-2;103267;Oxacillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;662
386-3;103267;Oxytetracyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;663
391-3;103267;Penicillin G [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;664
395-4;103267;Penicillin V [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;665
39-8;103267;Azlocillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;666
399-6;103267;Phenethicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;667
407-7;103267;Piperacillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;668
411-9;103267;Piperacillin+Tazobactam [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;669
415-0;103267;Pivampicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;670
419-2;103267;Polymyxin B [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;671
423-4;103267;Pyrazinamid [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;672
427-5;103267;Rifampicin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;673
43-0;103267;Aztreonam [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;674
43270-8;103267;Ceftobiprol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;675
435-8;103267;Rolitetracyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;676
439-0;103267;Rosoxacin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;677
443-2;103267;Roxithromycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;678
447-3;103267;Sisomicin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;679
451-5;103267;Spectinomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;680
455-6;103267;Spiramycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;681
459-8;103267;Streptomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;682
463-0;103267;Sulfadiazin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;683
467-1;103267;Sulfamethoxazol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;684
47-1;103267;Bacampicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;685
471-3;103267;Sulfisoxazol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;686
475-4;103267;Sulfonamid [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;687
479-6;103267;Talampicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;688
483-8;103267;Teicoplanin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;689
487-9;103267;Temafloxacin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;690
491-1;103267;Temocillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;691
495-2;103267;Tetracyclin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;692
499-4;103267;Ticarcillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;693
503-3;103267;Ticarcillin+Clavulanat [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;694
507-4;103267;Tobramycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;695
511-6;103267;Trimethoprim [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;696
515-7;103267;Trimethoprim+Sulfamethoxazol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;697
519-9;103267;Troleandomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;698
523-1;103267;Vancomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;699
55-4;103267;Capreomycin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;700
59-6;103267;Carbenicillin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;701
59833-4;103267;Anderes Antibiotikum [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;702
63-8;103267;Cefadroxil [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;703
6643-1;103267;Cefepim [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;704
6651-4;103267;Meropenem [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;705
67-9;103267;Cefamandol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;706
71-1;103267;Cefatrizin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;707
75-2;103267;Cefazolin [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;708
79-4;103267;Cefixim [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;709
8274-3;103267;Cefpirom [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;710
83-6;103267;Cefaclor [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;711
87-7;103267;Cefmetazol [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;712
91-9;103267;Cefodizim [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;713
95-0;103267;Cefonicid [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;714
99-2;103267;Cefoperazon [Empfindlichkeit] mit minimaler letaler Konzentration (MLK);eingestellte O2 Konzentration des Gases;74;Nein;715
9279-1;110834;Atemfrequenz;Eingestellte Oszillationsfrequenz;62;Nein;716
8478-0;110837;Mittlerer Blutdruck;Eingestellter mittlerer Atemwegsdruck;76;Nein;717
8310-5;103734;Körpertemperatur;Eingestellter Temperaturwert an der ECMO (Gerät);62;Nein;718
3150-0;103413;Inhalierte Sauerstoffkonzentration;eingestellte Sauerstoffkonzentration des inspiratorischen Atemgases;81;Nein;719
11556-8;103077;Sauerstoff [Partialdruck] in Blut;Eingestellte Sauerstoffzufuhr;65;Nein;720
22700-9;103077;Harnstoff [Mol/Volumen] in Urin;Eingestellte Sauerstoffzufuhr;60;Nein;721
3092-4;103077;Harnstoff [Masse/Volumen] in Urin;Eingestellte Sauerstoffzufuhr;60;Nein;722
3148-4;103077;Sauerstoff [Partialdruck] in Gas;Eingestellte Sauerstoffzufuhr;67;Nein;723
8867-4;107989;Herzfrequenz;Eingestellte SIMV Frequenz;64;Nein;724
9279-1;107989;Atemfrequenz;Eingestellte SIMV Frequenz;64;Nein;725
18833-4;107976;Erstes Körpergewicht;eingestelltes Körpergewicht;100;Nein;726
2748-2;107976;pH von Körperflüssigkeit;eingestelltes Körpergewicht;60;Nein;727
29463-7;107976;Körpergewicht;eingestelltes Körpergewicht;100;Nein;728
29638-4;107976;Gewicht von Gewebe;eingestelltes Körpergewicht;62;Nein;729
3141-9;107976;Körpergewicht, gemessen;eingestelltes Körpergewicht;100;Nein;730
35654-3;107976;Creatinin/Körpergewicht [Masse/kg/Zeit] in 24-Stunden-Urin;eingestelltes Körpergewicht;100;Nein;731
54374-4;107976;Creatinin/Körpergewicht [Mol/kg/Zeit] in 24-Stunden-Urin;eingestelltes Körpergewicht;100;Nein;732
8302-2;107976;Körpergröße;eingestelltes Körpergewicht;70;Nein;733
8303-0;107976;Körpergröße [Perzentil];eingestelltes Körpergewicht;70;Nein;734
8336-0;107976;Körpergewicht [Perzentil] pro Alter;eingestelltes Körpergewicht;100;Nein;735
18833-4;106626;Erstes Körpergewicht;Eingestelltes Körpergewicht;100;Nein;736
2748-2;106626;pH von Körperflüssigkeit;Eingestelltes Körpergewicht;60;Nein;737
29463-7;106626;Körpergewicht;Eingestelltes Körpergewicht;100;Nein;738
29638-4;106626;Gewicht von Gewebe;Eingestelltes Körpergewicht;62;Nein;739
3141-9;106626;Körpergewicht, gemessen;Eingestelltes Körpergewicht;100;Nein;740
35654-3;106626;Creatinin/Körpergewicht [Masse/kg/Zeit] in 24-Stunden-Urin;Eingestelltes Körpergewicht;100;Nein;741
54374-4;106626;Creatinin/Körpergewicht [Mol/kg/Zeit] in 24-Stunden-Urin;Eingestelltes Körpergewicht;100;Nein;742
8302-2;106626;Körpergröße;Eingestelltes Körpergewicht;70;Nein;743
8303-0;106626;Körpergröße [Perzentil];Eingestelltes Körpergewicht;70;Nein;744
8336-0;106626;Körpergewicht [Perzentil] pro Alter;Eingestelltes Körpergewicht;100;Nein;745
