2379-6;104785;GST RBC-cCnc;MS C2 RC;60
16518-3;102743;Calcium 2h Ur-mRate;Calcium;100
16518-3;103054;Calcium 2h Ur-mRate;Calcium;100
16518-3;103058;Calcium 2h Ur-mRate;CalciumFiltrat;61
16518-3;104974;Calcium 2h Ur-mRate;CRRT CalciumFiltrat;63
16518-3;104995;Calcium 2h Ur-mRate;CRRT CalciumFiltrat;63
16518-3;107935;Calcium 2h Ur-mRate;P ADS MS ADS Calcium preFilter;62
33818-6;108157;Insulin sp8 p chal SerPl-aCnc;Insulin ja;82
33818-6;108158;Insulin sp8 p chal SerPl-aCnc;Insulin nein;74
83104-0;104226;MIS SerPl IA-mCnc;MS Servoi Edi min;65
25697-4;108157;Insulin sp7 p chal SerPl-sCnc;Insulin ja;82
25697-4;108158;Insulin sp7 p chal SerPl-sCnc;Insulin nein;74
92245-0;103158;Micro resist mut NA change Islt/Spm;Na;100
92245-0;103190;Micro resist mut NA change Islt/Spm;Na;100
92245-0;104882;Micro resist mut NA change Islt/Spm;Na;100
92245-0;104898;Micro resist mut NA change Islt/Spm;Na;100
92245-0;104923;Micro resist mut NA change Islt/Spm;Na;100
92245-0;104938;Micro resist mut NA change Islt/Spm;Na;100
92245-0;110787;Micro resist mut NA change Islt/Spm;P Na;67
92245-0;110807;Micro resist mut NA change Islt/Spm;P Na;67
48164-8;108395;NSE Fld-mCnc;Score FLACC;61
50832-5;104961;Boron/Creat Ur-sRto;CRRT MS UFR BFR;65
2019-8;104117;pCO2 BldA;MS ILA SpO2;60
2019-8;117154;pCO2 BldA;SpO2 l;67
46099-8;102721;Calcium Album cor SerPl-mCnc;Calcium;100
46099-8;102743;Calcium Album cor SerPl-mCnc;Calcium;100
46099-8;103054;Calcium Album cor SerPl-mCnc;Calcium;100
48037-6;101608;pH Vag;PHzv;60
48037-6;102408;pH Vag;p-SV;60
39103-7;103158;FLUAV NA cDNA Spec NAA+probe;Na;100
39103-7;103190;FLUAV NA cDNA Spec NAA+probe;Na;100
39103-7;104882;FLUAV NA cDNA Spec NAA+probe;Na;100
39103-7;104898;FLUAV NA cDNA Spec NAA+probe;Na;100
39103-7;104923;FLUAV NA cDNA Spec NAA+probe;Na;100
39103-7;104938;FLUAV NA cDNA Spec NAA+probe;Na;100
39103-7;110787;FLUAV NA cDNA Spec NAA+probe;P Na;67
39103-7;110807;FLUAV NA cDNA Spec NAA+probe;P Na;67
51781-3;101423;CO2 BldC Calc-sCnc;CO2;100
51781-3;101434;CO2 BldC Calc-sCnc;CO2;100
14658-9;107991;CA Titr SerPl;P C3 Ti;60
14658-9;108011;CA Titr SerPl;P C3 Ti;60
14658-9;108030;CA Titr SerPl;P MS C3 TI;61
19194-0;110937;NSE Plr-aCnc;P MS MAC;60
32559-7;104272;Tau Prot Ser-mCnc;Servoi Tpause Prozent;63
48585-4;103158;NM ExG GE time p 100mg Na acetate PO;Na;100
48585-4;103190;NM ExG GE time p 100mg Na acetate PO;Na;100
48585-4;104882;NM ExG GE time p 100mg Na acetate PO;Na;100
48585-4;104898;NM ExG GE time p 100mg Na acetate PO;Na;100
48585-4;104923;NM ExG GE time p 100mg Na acetate PO;Na;100
48585-4;104938;NM ExG GE time p 100mg Na acetate PO;Na;100
48585-4;110779;NM ExG GE time p 100mg Na acetate PO;P MS Na;73
48585-4;110787;NM ExG GE time p 100mg Na acetate PO;P Na;100
48585-4;110807;NM ExG GE time p 100mg Na acetate PO;P Na;100
48585-4;110854;NM ExG GE time p 100mg Na acetate PO;P RTX Time;75
48585-4;117155;NM ExG GE time p 100mg Na acetate PO;P MS UF Time;67
11187-2;102121;P frequentans IgE Qn;IABP Frequenz;61
11187-2;103397;P frequentans IgE Qn;Siemens Frequenz;61
11187-2;104354;P frequentans IgE Qn;IABP IABP Frequenz;61
11187-2;104748;P frequentans IgE Qn;Frequenz Min;62
11187-2;110834;P frequentans IgE Qn;P Frequenz;60
3937-0;110860;PCP Ur-mCnc;P RTX Min;60
16740-3;102140;DENV Ab Ser Ql;Abdomen Leber;67
3150-0;100807;Inhaled O2 concentration;O2;100
3150-0;101624;Inhaled O2 concentration;O2;100
3150-0;102198;Inhaled O2 concentration;O2;100
3150-0;106783;Inhaled O2 concentration;Optiflow O2Konzentration;62
3150-0;107861;Inhaled O2 concentration;O2 Konzentration;70
3150-0;107867;Inhaled O2 concentration;Atom O2 Konzentration;62
23210-8;100077;Listeria Ab Ser Ql;SM AV Intervall;61
21612-7;100085;Age - Reported;Pacergeräte;64
6303-2;102786;Screen dRVVT;Score Aldrete;64
6303-2;102796;Screen dRVVT;Score DRS;67
6303-2;102811;Screen dRVVT;Score RTS;67
8074-7;108157;Insulin Human Ab Ser-aCnc;Insulin ja;82
8074-7;108158;Insulin Human Ab Ser-aCnc;Insulin nein;74
2126-1;102742;Citrate Smn-mCnc;CitratLoesung;62
2126-1;102748;Citrate Smn-mCnc;CitratLoesung;62
2126-1;103051;Citrate Smn-mCnc;Citratloesung;62
2126-1;103056;Citrate Smn-mCnc;Citratloesung;62
2126-1;103061;Citrate Smn-mCnc;MS Citratfluss;60
55389-1;108157;Insulin 5h p chal SerPl-sCnc;Insulin ja;82
55389-1;108158;Insulin 5h p chal SerPl-sCnc;Insulin nein;74
2232-7;104108;Epineph 24h Ur-mRate;Temperatur 2a;61
2232-7;104109;Epineph 24h Ur-mRate;Temperatur 2b;61
14619-1;104833;Appearance Plas;Apherese Plasma;67
14619-1;104834;Appearance Plas;Apherese Plasma;67
14619-1;104846;Appearance Plas;Apherese Plasma;67
8480-6;102408;BP sys;p-SV;60
2460-4;104240;IgD Ser-mCnc;MS Servoi i;61
56654-7;103925;Nickel/Creat Ur-Rto;Rotorest reRotWinkel;62
20448-7;108157;Insulin SerPl-aCnc;Insulin ja;82
20448-7;108158;Insulin SerPl-aCnc;Insulin nein;74
26606-4;102799;Carnosine SerPl-sCnc;Score KarnofskyIndex;60
40620-7;103888;pCO2 temp adj BldC;Doku Temp;62
40620-7;105049;pCO2 temp adj BldC;CRRT Temp;62
40620-7;105050;pCO2 temp adj BldC;CRRT Temp;62
14722-3;102140;ENA Ab Ser Ql;Abdomen Leber;62
14722-3;105020;ENA Ab Ser Ql;A Sense;60
14722-3;105033;ENA Ab Ser Ql;A-Sense;60
19177-5;104245;AFP SerPl-sCnc;MS Servoi AF;62
19177-5;104246;AFP SerPl-sCnc;MS Servoi Af;62
15792-5;108157;Insulin Bovine IgE RAST Ql;Insulin ja;82
15792-5;108158;Insulin Bovine IgE RAST Ql;Insulin nein;74
13069-0;102883;PS IgA Ser-aCnc;PS;100
13069-0;104717;PS IgA Ser-aCnc;PS;100
14903-9;107960;Folate Bld-Imp;P ADS Filter;62
51733-4;1273;SaO2 % BldA from pO2;SaO2;100
100859-8;105022;CD4 IFNg/CD4 p Stim COVID Sp;A STIM;80
100859-8;105023;CD4 IFNg/CD4 p Stim COVID Sp;V STIM;80
16825-2;103158;EBV NA IgG Fld Ql;Na;100
16825-2;103190;EBV NA IgG Fld Ql;Na;100
16825-2;104882;EBV NA IgG Fld Ql;Na;100
16825-2;104898;EBV NA IgG Fld Ql;Na;100
16825-2;104923;EBV NA IgG Fld Ql;Na;100
16825-2;104938;EBV NA IgG Fld Ql;Na;100
16825-2;110787;EBV NA IgG Fld Ql;P Na;67
16825-2;110807;EBV NA IgG Fld Ql;P Na;67
16526-6;102721;Calcium/Prot SerPl;Calcium;100
16526-6;102743;Calcium/Prot SerPl;Calcium;100
16526-6;103054;Calcium/Prot SerPl;Calcium;100
16526-6;104962;Calcium/Prot SerPl;CRRT MS CalciumVolKum;62
16526-6;104968;Calcium/Prot SerPl;CRRT MS Calciumfluss;63
413-5;102885;Pip+Tazo Islt KB;MS PIP;67
413-5;103422;Pip+Tazo Islt KB;MS PIP;67
12588-0;103265;Creat 8h Ur-mRate;MS BreathRate;60
12588-0;104973;Creat 8h Ur-mRate;CRRT Temperatur;62
12588-0;104994;Creat 8h Ur-mRate;CRRT Temperatur;62
12588-0;110930;Creat 8h Ur-mRate;P Temperatur Rektal;61
50757-4;104972;CK/CK MB Bld-cRto;CRRT MS artDruck;60
33913-5;107997;pH BldC Fetus;P C3 ETS;67
52753-1;100203;PT PIVKA insensitive Act/Nor PPP;PT;100
52753-1;100676;PT PIVKA insensitive Act/Nor PPP;PT;100
11481-9;112017;HPV Spec;P SEF;62
29304-3;104403;Medication dispensed;Praemedikation;65
70266-2;103265;Creat Prt/Ser;MS BreathRate;62
70266-2;104959;Creat Prt/Ser;CRRT MS;60
70266-2;104970;Creat Prt/Ser;CRRT MS;60
70266-2;113047;Creat Prt/Ser;CRRT praeF;61
70266-2;113048;Creat Prt/Ser;CRRT praeF;61
20420-6;103292;PACP Ser-mCnc;MS CPAP;60
48138-2;104234;NSE SerPl RIA-mCnc;MS Servoi Ri;60
1998-4;102721;Calcium Dial fld-sCnc;Calcium;100
1998-4;102743;Calcium Dial fld-sCnc;Calcium;100
1998-4;103054;Calcium Dial fld-sCnc;Calcium;100
1998-4;103062;Calcium Dial fld-sCnc;MS Calciumfluss;61
32787-4;108015;p-ANCA Titr Ser;P MS C3 VTi;62
32787-4;108030;p-ANCA Titr Ser;P MS C3 TI;64
6801-5;107985;C3 Fld-mCnc;P C3;67
6801-5;107992;C3 Fld-mCnc;P C3;67
6801-5;107998;C3 Fld-mCnc;P C3 Flow;60
6801-5;108010;C3 Fld-mCnc;P C3;67
6801-5;110827;C3 Fld-mCnc;C3 F SIMV;60
6801-5;110828;C3 Fld-mCnc;P C3;67
6801-5;110831;C3 Fld-mCnc;P C3;67
2887-8;104941;Prot Ur Ql;UF Profil;63
55601-9;102040;Cyto Pcar;p-CO;62
648-6;104714;Gram Stn Spt;T Rampe;63
34782-3;103336;Infectious disease Note;eDesinfektion;61
28604-7;104973;PETN/Creat Ur-Rto;CRRT Temperatur;62
28604-7;104994;PETN/Creat Ur-Rto;CRRT Temperatur;62
34163-6;100807;O2 Ct Bld-sCnc;O2;100
34163-6;101624;O2 Ct Bld-sCnc;O2;100
34163-6;102198;O2 Ct Bld-sCnc;O2;100
46136-8;110925;Trans Cells #/area UrnS LPF;P Temperatur Arteriell;60
59408-5;1273;SaO2 % BldA PulseOx;SaO2;100
6095-4;100135;D farinae IgE Qn;Drainagen;64
17862-4;102721;Calcium Ur-mCnc;Calcium;100
17862-4;102743;Calcium Ur-mCnc;Calcium;100
17862-4;103054;Calcium Ur-mCnc;Calcium;100
17862-4;103062;Calcium Ur-mCnc;MS Calciumfluss;60
17862-4;107934;Calcium Ur-mCnc;P ADS MS ADS Calcium postFilter;64
17862-4;107935;Calcium Ur-mCnc;P ADS MS ADS Calcium preFilter;64
77599-9;100189;Additional documentation;Wunddokumentation;63
77599-9;101391;Additional documentation;Dokumentation;65
77599-9;101398;Additional documentation;Dokumentation Blutfluss;64
77599-9;101404;Additional documentation;Dokumentation Antikoagulatio;73
77599-9;101405;Additional documentation;Dokumentation;65
77599-9;101417;Additional documentation;Dokumentation;65
77599-9;102503;Additional documentation;Dokumentation BlutflussEinst;62
77599-9;102504;Additional documentation;Dokumentation Abschluss;64
77599-9;107864;Additional documentation;Doku Atom O2 Konzentration;60
5250-6;104245;MuV Ab Titr Ser IF;MS Servoi AF;60
5250-6;104246;MuV Ab Titr Ser IF;MS Servoi Af;60
9397-1;106651;Color Stl;Score UStix;60
15794-1;108157;Insulin Porcine IgE RAST Ql;Insulin ja;82
15794-1;108158;Insulin Porcine IgE RAST Ql;Insulin nein;74
14796-7;108157;Insulin SerPl-sCnc;Insulin ja;82
14796-7;108158;Insulin SerPl-sCnc;Insulin nein;74
42221-2;106521;Manganese Ur-sCnc;Anamnese Nein;60
13226-6;107988;CMV IgM CSF-aCnc;P C3 F CMV;62
34705-4;103888;pCO2 temp adj Bld;Doku Temp;62
34705-4;105049;pCO2 temp adj Bld;CRRT Temp;62
34705-4;105050;pCO2 temp adj Bld;CRRT Temp;62
12586-4;103265;Creat 4h Ur-mRate;MS BreathRate;60
12586-4;104973;Creat 4h Ur-mRate;CRRT Temperatur;62
12586-4;104994;Creat 4h Ur-mRate;CRRT Temperatur;62
12586-4;110930;Creat 4h Ur-mRate;P Temperatur Rektal;61
8073-9;108157;Insulin Bovine Ab Ser-aCnc;Insulin ja;82
8073-9;108158;Insulin Bovine Ab Ser-aCnc;Insulin nein;74
28647-6;102040;pH BldCoV;p-CO;62
32771-8;103888;pCO2 temp adj BldA;Doku Temp;62
32771-8;105049;pCO2 temp adj BldA;CRRT Temp;62
32771-8;105050;pCO2 temp adj BldA;CRRT Temp;62
2382-0;102909;GSH RBC-mCnc;MS G5 RC;60
25527-3;108000;Silver SerPl-sCnc;P C3 passiver;60
19728-5;100359;Beet IgE Qn;Bewegen;67
94478-5;100203;B pert.PT Prmt Low resp Ql NAA+non-probe;PT;100
94478-5;100676;B pert.PT Prmt Low resp Ql NAA+non-probe;PT;100
6857-7;103414;Spruce IgE Qn;InspDruck;64
6301-6;102027;INR PPP;RPP;60
95420-6;117219;Admitted to ICU for condition;ICU IMC;60
53120-2;103265;Creat 1h Ur-sRate;MS BreathRate;60
73561-3;101973;IGF-I Z-score SerPl;Score SAPS2;62
73561-3;101992;IGF-I Z-score SerPl;Score SOFA;67
73561-3;102764;IGF-I Z-score SerPl;Score ARDS;67
73561-3;102784;IGF-I Z-score SerPl;Score RASS;67
73561-3;102785;IGF-I Z-score SerPl;Score AIS;71
73561-3;102788;IGF-I Z-score SerPl;Score Apgar;62
73561-3;102790;IGF-I Z-score SerPl;Score Besinger;61
73561-3;102791;IGF-I Z-score SerPl;Score BPS;71
73561-3;102792;IGF-I Z-score SerPl;Score CIWA;67
73561-3;102795;IGF-I Z-score SerPl;Score CRIB;67
73561-3;102796;IGF-I Z-score SerPl;Score DRS;71
73561-3;102798;IGF-I Z-score SerPl;Score GDS;71
73561-3;102800;IGF-I Z-score SerPl;Score Kuss;67
73561-3;102801;IGF-I Z-score SerPl;Score MAAS;67
73561-3;102802;IGF-I Z-score SerPl;Score MMS;71
73561-3;102803;IGF-I Z-score SerPl;Score MOF;71
73561-3;102804;IGF-I Z-score SerPl;Score mRS;71
73561-3;102806;IGF-I Z-score SerPl;Score NIHSS;62
73561-3;102807;IGF-I Z-score SerPl;Score NIPS;67
73561-3;102810;IGF-I Z-score SerPl;Score RSS;71
73561-3;102811;IGF-I Z-score SerPl;Score RTS;71
73561-3;102812;IGF-I Z-score SerPl;Score SAS;71
73561-3;102813;IGF-I Z-score SerPl;Score Lachs;62
73561-3;102815;IGF-I Z-score SerPl;Score VICS;67
73561-3;103444;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103458;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103506;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103507;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103509;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103510;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103511;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103512;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103518;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103523;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103527;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103536;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103538;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103540;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103543;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103544;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103545;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103550;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103551;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103554;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103556;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103557;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103558;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103559;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103560;IGF-I Z-score SerPl;Score DGAI;67
73561-3;103562;IGF-I Z-score SerPl;Score DGAI;67
73561-3;105222;IGF-I Z-score SerPl;Score NRS;71
73561-3;105223;IGF-I Z-score SerPl;Score BPS;71
73561-3;106651;IGF-I Z-score SerPl;Score UStix;62
73561-3;108395;IGF-I Z-score SerPl;Score FLACC;62
73561-3;108441;IGF-I Z-score SerPl;Score SOS;71
73561-3;108458;IGF-I Z-score SerPl;Score SOS;71
73561-3;108680;IGF-I Z-score SerPl;Score NACA;67
73561-3;108684;IGF-I Z-score SerPl;Score ISS;71
73561-3;110976;IGF-I Z-score SerPl;Score FOUR;67
73561-3;117221;IGF-I Z-score SerPl;Score;100
73561-3;117225;IGF-I Z-score SerPl;Score Race;67
2890-2;104973;Prot/Creat Ur;CRRT Temperatur;64
2890-2;104994;Prot/Creat Ur;CRRT Temperatur;64
6092-1;100135;Crab IgE Qn;Drainagen;60
564-5;108020;CC Spec VC;P MS C3 VCO2;64
564-5;108034;CC Spec VC;P MS C3 RC;60
42593-4;102721;Calcium BldC-sCnc;Calcium;100
42593-4;102743;Calcium BldC-sCnc;Calcium;100
42593-4;103054;Calcium BldC-sCnc;Calcium;100
71711-6;110915;EBOV IgM Titr Ser IA;MS Servoi I E;61
40133-1;104961;Creat BS Ur-sCnc;CRRT MS UFR BFR;65
16271-9;102721;Calcium 30M p chal SerPl-mCnc;Calcium;100
16271-9;102743;Calcium 30M p chal SerPl-mCnc;Calcium;100
16271-9;103054;Calcium 30M p chal SerPl-mCnc;Calcium;100
16271-9;107934;Calcium 30M p chal SerPl-mCnc;P ADS MS ADS Calcium postFilter;61
8339-4;117218;Birth weight Measured;G5 Body Weight;60
4456-0;103839;Trimipramine Dose;Doku Triadyne;60
1573-5;108157;Insulin p 12h fast SerPl-mCnc;Insulin ja;82
1573-5;108158;Insulin p 12h fast SerPl-mCnc;Insulin nein;74
5964-2;100203;PT Bld;PT;100
5964-2;100560;PT Bld;PT Allg;62
5964-2;100676;PT Bld;PT;100
4216-8;1278;DAM Dose;Diagnose;62
27826-7;108157;Insulin 2h p chal SerPl-aCnc;Insulin ja;82
27826-7;108158;Insulin 2h p chal SerPl-aCnc;Insulin nein;74
1903-4;104236;Vit C SerPl-mCnc;MS Servoi Cdyn;60
1903-4;104247;Vit C SerPl-mCnc;MS Servoi CPAP;60
2988-4;102626;Testost Ur-mCnc;Mess UFR;61
15038-3;105007;Citrate SerPl-sCnc;CRRT CitratLoesung;61
14611-8;104250;ANA Pat Ser-Imp;MS Servoi Pplat;60
30500-3;102883;PS IgA Ser Ql;PS;100
30500-3;104717;PS IgA Ser Ql;PS;100
9278-3;105019;Breath rate special circumstances;Rate;100
14712-4;104108;Epineph 24h Ur-sRate;Temperatur 2a;61
14712-4;104109;Epineph 24h Ur-sRate;Temperatur 2b;61
414-3;102885;Pip+Tazo Titr SBT;MS PIP;67
414-3;103422;Pip+Tazo Titr SBT;MS PIP;67
2366-3;107860;Glutamate 24h Ur-mRate;Lufttemperatur;61
3186-4;103568;Fact IXa PPP-aCnc;IABP ACAT;62
17433-4;112017;pH Spec;P SEF;67
17433-4;112018;pH Spec;P SEF1;62
17433-4;112019;pH Spec;P SEF2;62
27037-1;102721;Calcium/Creat 2h Ur;Calcium;100
27037-1;102743;Calcium/Creat 2h Ur;Calcium;100
27037-1;103054;Calcium/Creat 2h Ur;Calcium;100
27037-1;103058;Calcium/Creat 2h Ur;CalciumFiltrat;61
27037-1;104962;Calcium/Creat 2h Ur;CRRT MS CalciumVolKum;60
27037-1;104968;Calcium/Creat 2h Ur;CRRT MS Calciumfluss;62
27037-1;104974;Calcium/Creat 2h Ur;CRRT CalciumFiltrat;63
27037-1;104985;Calcium/Creat 2h Ur;CRRT Doku CalciumLoesung;60
27037-1;104995;Calcium/Creat 2h Ur;CRRT CalciumFiltrat;63
18186-7;102721;Calcium 12h Ur-mRate;Calcium;100
18186-7;102743;Calcium 12h Ur-mRate;Calcium;100
18186-7;103054;Calcium 12h Ur-mRate;Calcium;100
18186-7;104974;Calcium 12h Ur-mRate;CRRT CalciumFiltrat;62
18186-7;104995;Calcium 12h Ur-mRate;CRRT CalciumFiltrat;62
18186-7;107935;Calcium 12h Ur-mRate;P ADS MS ADS Calcium preFilter;61
13754-7;103265;Hippurate/Creat Ur;MS BreathRate;65
13754-7;104973;Hippurate/Creat Ur;CRRT Temperatur;61
13754-7;104994;Hippurate/Creat Ur;CRRT Temperatur;61
15184-5;102120;IgG Ser Ql IEP;IABP Trigger;62
11158-3;103258;Appearance Ser;ApneaRate;61
11158-3;104849;Appearance Ser;Apherese;64
11158-3;104855;Appearance Ser;Apherese;64
33603-2;102120;BPI IgG Ser-aCnc;IABP Trigger;64
26465-5;108716;WBC # CSF;P CSF MS LiquoGuard Liquorfluss;60
26465-5;108717;WBC # CSF;P CSF MS Pcsf;60
26465-5;108718;WBC # CSF;P CSF MS ICP;60
26465-5;108719;WBC # CSF;P CSF LiquoGuard Pset;60
26465-5;108720;WBC # CSF;P CSF Doku;60
26465-5;110940;WBC # CSF;P CSF MS LiquoGuard Fuellstand;60
26465-5;110941;WBC # CSF;P CSF LiquoGuard Vset;60
45286-2;105083;CMV IgA Fld Ql;G5 F CMV;64
8665-2;104939;LMP Start date;Start Na;77
8665-2;110788;LMP Start date;P StartNa;61
8665-2;110808;LMP Start date;P StartNa;61
33813-7;108157;Insulin sp14 p chal SerPl-aCnc;Insulin ja;82
33813-7;108158;Insulin sp14 p chal SerPl-aCnc;Insulin nein;74
2027-1;101423;CO2 BldV-sCnc;CO2;100
2027-1;101434;CO2 BldV-sCnc;CO2;100
2027-1;107849;CO2 BldV-sCnc;MS DCO2;60
6148-1;108157;Insulin Human IgE Qn;Insulin ja;82
6148-1;108158;Insulin Human IgE Qn;Insulin nein;74
48584-7;103158;NM ExG GE time p 100mg Na octanoate PO;Na;100
48584-7;103190;NM ExG GE time p 100mg Na octanoate PO;Na;100
48584-7;104882;NM ExG GE time p 100mg Na octanoate PO;Na;100
48584-7;104898;NM ExG GE time p 100mg Na octanoate PO;Na;100
48584-7;104923;NM ExG GE time p 100mg Na octanoate PO;Na;100
48584-7;104938;NM ExG GE time p 100mg Na octanoate PO;Na;100
48584-7;110779;NM ExG GE time p 100mg Na octanoate PO;P MS Na;73
48584-7;110787;NM ExG GE time p 100mg Na octanoate PO;P Na;100
48584-7;110807;NM ExG GE time p 100mg Na octanoate PO;P Na;100
48584-7;110854;NM ExG GE time p 100mg Na octanoate PO;P RTX Time;75
48584-7;117155;NM ExG GE time p 100mg Na octanoate PO;P MS UF Time;67
411-9;102885;Pip+Tazo Islt MLC;MS PIP;67
411-9;103422;Pip+Tazo Islt MLC;MS PIP;67
30362-8;108157;Insulin 30M p 75 g Glc PO SerPl-aCnc;Insulin ja;82
30362-8;108158;Insulin 30M p 75 g Glc PO SerPl-aCnc;Insulin nein;74
58998-6;104973;Creat 18h Ur-mRate;CRRT Temperatur;61
58998-6;104994;Creat 18h Ur-mRate;CRRT Temperatur;61
1996-8;102721;Calcium Bld-sCnc;Calcium;100
1996-8;102743;Calcium Bld-sCnc;Calcium;100
1996-8;102749;Calcium Bld-sCnc;CalciumLoesung;60
1996-8;102763;Calcium Bld-sCnc;CalciumLoesung;60
1996-8;103054;Calcium Bld-sCnc;Calcium;100
1996-8;107934;Calcium Bld-sCnc;P ADS MS ADS Calcium postFilter;61
1996-8;107935;Calcium Bld-sCnc;P ADS MS ADS Calcium preFilter;61
1996-8;107956;Calcium Bld-sCnc;P ADS CalciumLoesung;61
33514-1;104249;Specimen vol Sweat;MS Servoi Pmean;61
47369-4;103062;Calcit Fld-mCnc;MS Calciumfluss;60
5673-9;104781;Lead Hair-mCnt;AT Air;60
5995-6;105078;PA Coll PRP;C2 PEEP CPAP;61
81113-3;104242;MVEV IgM Ser Ql;MS Servoi MVe;64
81113-3;104244;MVEV IgM Ser Ql;MS Servoi Mve;64
14581-3;104247;APAP SerPl-sCnc;MS Servoi CPAP;62
100342-5;103433;VOCs (volatiles) SARS-CoV-2 ExG Ql GC-MS;MS i;67
100342-5;107839;VOCs (volatiles) SARS-CoV-2 ExG Ql GC-MS;MS i;67
100342-5;110780;VOCs (volatiles) SARS-CoV-2 ExG Ql GC-MS;P MS;67
26455-6;101630;RBC # Fld;Proc Flow;62
2499-2;104147;Iron 24h Ur-mRate;Airvo Temperatur;61
26611-4;104108;PETN 24h Ur-sRate;Temperatur 2a;60
26611-4;104109;PETN 24h Ur-sRate;Temperatur 2b;60
22240-6;106634;CMV Ab Titr CSF;T1 F CMV;61
11208-6;108723;ANF Plas-mCnc;P MS AF;60
3964-4;104250;PPA SerPl-mCnc;MS Servoi Pplat;62
3964-4;104251;PPA SerPl-mCnc;MS Servoi Ppeak;62
50836-6;102721;Calcium Hair-sCnt;Calcium;100
50836-6;102743;Calcium Hair-sCnt;Calcium;100
50836-6;103054;Calcium Hair-sCnt;Calcium;100
50836-6;103058;Calcium Hair-sCnt;CalciumFiltrat;65
50836-6;104974;Calcium Hair-sCnt;CRRT CalciumFiltrat;67
50836-6;104995;Calcium Hair-sCnt;CRRT CalciumFiltrat;67
56475-7;101644;Salmonella sp Ag form Islt Aggl;Form;100
56475-7;101645;Salmonella sp Ag form Islt Aggl;Proc Form;62
51834-0;104273;Tryptase SerPl-sCnc;Servoi Tpause s;65
49005-2;102721;Calcium DiafP-sCnc;Calcium;100
49005-2;102743;Calcium DiafP-sCnc;Calcium;100
49005-2;103054;Calcium DiafP-sCnc;Calcium;100
49005-2;103062;Calcium DiafP-sCnc;MS Calciumfluss;61
5838-8;107988;CMV Spec Ql Cult;P C3 F CMV;62
7289-2;108625;Duck Feather IgG Qn;P Doku Lifetherm Neigung;65
2028-9;101423;CO2 SerPl-sCnc;CO2;100
2028-9;101434;CO2 SerPl-sCnc;CO2;100
42857-3;102721;Calcium BldV-sCnc;Calcium;100
42857-3;102743;Calcium BldV-sCnc;Calcium;100
42857-3;103054;Calcium BldV-sCnc;Calcium;100
32031-7;102883;PS IgA Ser IA-aCnc;PS;100
32031-7;104717;PS IgA Ser IA-aCnc;PS;100
28649-2;117154;pO2 BldCoV;SpO2 l;62
28642-7;1273;SaO2 % BldCoA;SaO2;100
96826-3;101973;Cardio Score SOFA;Score SAPS2;62
96826-3;101992;Cardio Score SOFA;Score SOFA;100
96826-3;102764;Cardio Score SOFA;Score ARDS;74
96826-3;102784;Cardio Score SOFA;Score RASS;67
96826-3;102785;Cardio Score SOFA;Score AIS;71
96826-3;102788;Cardio Score SOFA;Score Apgar;62
96826-3;102791;Cardio Score SOFA;Score BPS;71
96826-3;102792;Cardio Score SOFA;Score CIWA;67
96826-3;102795;Cardio Score SOFA;Score CRIB;67
96826-3;102796;Cardio Score SOFA;Score DRS;71
96826-3;102797;Cardio Score SOFA;Score Dubois;62
96826-3;102798;Cardio Score SOFA;Score GDS;71
96826-3;102800;Cardio Score SOFA;Score Kuss;67
96826-3;102801;Cardio Score SOFA;Score MAAS;67
96826-3;102802;Cardio Score SOFA;Score MMS;71
96826-3;102803;Cardio Score SOFA;Score MOF;71
96826-3;102804;Cardio Score SOFA;Score mRS;71
96826-3;102806;Cardio Score SOFA;Score NIHSS;62
96826-3;102807;Cardio Score SOFA;Score NIPS;67
96826-3;102810;Cardio Score SOFA;Score RSS;71
96826-3;102811;Cardio Score SOFA;Score RTS;71
96826-3;102812;Cardio Score SOFA;Score SAS;71
96826-3;102813;Cardio Score SOFA;Score Lachs;62
96826-3;102815;Cardio Score SOFA;Score VICS;67
96826-3;103444;Cardio Score SOFA;Score DGAI;67
96826-3;103458;Cardio Score SOFA;Score DGAI;67
