96766-1;117164;GISAID sequence accession-Nummer;P Doku nummer;63
44760-7;108684;Klassifikationsmodell Lebererkrankungen Endstadium (Score);Score ISS;71
44760-7;110976;Klassifikationsmodell Lebererkrankungen Endstadium (Score);Score FOUR;67
44760-7;117221;Klassifikationsmodell Lebererkrankungen Endstadium (Score);Score;100
44760-7;117225;Klassifikationsmodell Lebererkrankungen Endstadium (Score);Score Race;67
148-7;107861;Cephalexin minimaler letaler Konzentration (MLK);O2 Konzentration;90
148-7;107864;Cephalexin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
148-7;107867;Cephalexin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
25568-7;108510;C-Peptid Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
2333-3;104833;Gastrin Serum Plasma;Apherese Plasma;63
2333-3;104834;Gastrin Serum Plasma;Apherese Plasma;63
2333-3;104846;Gastrin Serum Plasma;Apherese Plasma;63
358-2;107861;Netilmicin minimaler letaler Konzentration (MLK);O2 Konzentration;90
358-2;107864;Netilmicin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
358-2;107867;Netilmicin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
39986-5;108510;Creatinin Urin Stunden Stimulation;Atmung Stimulation;76
20394-3;104833;Probe lipämisch Serum Plasma;Apherese Plasma;62
20394-3;104834;Probe lipämisch Serum Plasma;Apherese Plasma;62
20394-3;104846;Probe lipämisch Serum Plasma;Apherese Plasma;62
34581-9;102721;Calcium.ionisiert arteriellem Blut;Calcium;100
34581-9;102743;Calcium.ionisiert arteriellem Blut;Calcium;100
34581-9;103054;Calcium.ionisiert arteriellem Blut;Calcium;100
2484-4;108157;Insulin- WachstumsfaktorSerum Plasma;Insulin ja;82
2484-4;108158;Insulin- WachstumsfaktorSerum Plasma;Insulin nein;74
18377-2;102596;Natrium -Stunden-Urin;Natrium;100
18377-2;102638;Natrium -Stunden-Urin;Mess Natrium;74
18377-2;102676;Natrium -Stunden-Urin;Natrium;100
18377-2;103167;Natrium -Stunden-Urin;MS Natrium;82
18377-2;103226;Natrium -Stunden-Urin;Natrium;100
18377-2;103242;Natrium -Stunden-Urin;Natrium;100
1798-8;104833;Amylase Serum Plasma;Apherese Plasma;63
1798-8;104834;Amylase Serum Plasma;Apherese Plasma;63
1798-8;104846;Amylase Serum Plasma;Apherese Plasma;63
46404-0;108157;Somatotropin Serum Plasma Stunden Dosis Insulin intravenös;Insulin ja;82
46404-0;108158;Somatotropin Serum Plasma Stunden Dosis Insulin intravenös;Insulin nein;74
46264-8;106521;Anamnese Medizinprodukten;Anamnese Nein;76
46264-8;106522;Anamnese Medizinprodukten;Anamnese Ja;84
46264-8;106649;Anamnese Medizinprodukten;Anamnese;100
8071-3;108675;Histon Antikörper Serum;P Antikoerper Mutter;62
1964-6;102597;Bicarbonat Urin;Bicarbonat;100
1964-6;102639;Bicarbonat Urin;Mess Bicarbonat;80
1964-6;102677;Bicarbonat Urin;Bicarbonat;100
1964-6;103160;Bicarbonat Urin;Bicarbonat;100
1964-6;103191;Bicarbonat Urin;Bicarbonat;100
1964-6;103227;Bicarbonat Urin;Bicarbonat;100
1964-6;103243;Bicarbonat Urin;Bicarbonat;100
1964-6;104881;Bicarbonat Urin;Bicarbonat;100
1964-6;104897;Bicarbonat Urin;Bicarbonat;100
1964-6;104922;Bicarbonat Urin;Bicarbonat;100
1964-6;104937;Bicarbonat Urin;Bicarbonat;100
1964-6;110786;Bicarbonat Urin;P Bicarbonat;91
1964-6;110806;Bicarbonat Urin;P Bicarbonat;91
1631-1;108157;Somatotropin Serum Plasma Minuten Dosis Insulin intravenös;Insulin ja;82
1631-1;108158;Somatotropin Serum Plasma Minuten Dosis Insulin intravenös;Insulin nein;74
32245-3;102699;Glycin Körperflüssigkeit;Dialysierfluessigke;63
17819-4;106365;Albumin/Protein. Elektrophorese Urin gesammelt Zeitraum;G5 SBT Zeitraum;70
17819-4;106366;Albumin/Protein. Elektrophorese Urin gesammelt Zeitraum;G5 SBT Zeitraum;70
17819-4;110899;Albumin/Protein. Elektrophorese Urin gesammelt Zeitraum;P C3 SBT Zeitraum;64
17819-4;110900;Albumin/Protein. Elektrophorese Urin gesammelt Zeitraum;P C3 SBT Zeitraum;64
411-9;107861;Piperacillin+Tazobactam minimaler letaler Konzentration (MLK);O2 Konzentration;90
411-9;107864;Piperacillin+Tazobactam minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
411-9;107867;Piperacillin+Tazobactam minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
42669-2;102113;Fettsäuren Pleuraflüssigkeit;Mess PatFluessigkeitRate;60
38426-3;108510;C-Peptid Serum Plasma Stunden Stimulation;Atmung Stimulation;76
1743-4;103592;Alanin-Aminotransferase Serum Plasma Zusatz P-5'-P;Zusatz;100
12730-8;104833;Interferon beta Serum Plasma;Apherese Plasma;60
12730-8;104834;Interferon beta Serum Plasma;Apherese Plasma;60
12730-8;104846;Interferon beta Serum Plasma;Apherese Plasma;60
286-5;107861;Isoniazid minimaler letaler Konzentration (MLK);O2 Konzentration;90
286-5;107864;Isoniazid minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
286-5;107867;Isoniazid minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
43270-8;107861;Ceftobiprol minimaler letaler Konzentration (MLK);O2 Konzentration;90
43270-8;107864;Ceftobiprol minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
43270-8;107867;Ceftobiprol minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
13436-1;108510;Dopamin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
58922-6;108510;Vasopressin Plasma Stunden Stimulation;Atmung Stimulation;76
54369-4;104913;Chlorid Serum Plasma -- Dialyse;Dialyse Zeit;74
54369-4;110802;Chlorid Serum Plasma -- Dialyse;P Dialyse Zeit;67
54369-4;110818;Chlorid Serum Plasma -- Dialyse;P Dialyse Zeit;67
33254-4;107866;pH arteriellem Blut Körpertemperatur;Atom Lufttemperatur;63
33254-4;110925;pH arteriellem Blut Körpertemperatur;P Temperatur Arteriell;74
2118-8;106665;Choriongonadotropin (Schwangerschaftstest) Serum Plasma;Schwangerschaftstest durchgefuehrt;74
33874-9;106365;Adrenalin/Creatinin Urin gesammelt Zeitraum;G5 SBT Zeitraum;70
33874-9;106366;Adrenalin/Creatinin Urin gesammelt Zeitraum;G5 SBT Zeitraum;70
33874-9;110899;Adrenalin/Creatinin Urin gesammelt Zeitraum;P C3 SBT Zeitraum;64
33874-9;110900;Adrenalin/Creatinin Urin gesammelt Zeitraum;P C3 SBT Zeitraum;64
6176-2;108675;Mimosa spp IgE-Antikörper Serum;P Antikoerper Mutter;60
12567-4;108510;Cortisol Serum Plasma Stunde Stimulation;Atmung Stimulation;76
26965-4;108158;Isoleucin Urin;Insulin nein;62
20448-7;108157;Insulin Serum Plasma;Insulin ja;82
20448-7;108158;Insulin Serum Plasma;Insulin nein;74
16633-0;108169;Kokain Blut;Geburt Komplikation ja;61
56558-0;108510;Aldosteron Serum Plasma Minuten Stimulation;Atmung Stimulation;76
9274-2;101973;5-min-Apgar-Score;Score SAPS2;62
9274-2;101992;5-min-Apgar-Score;Score SOFA;67
9274-2;102764;5-min-Apgar-Score;Score ARDS;67
9274-2;102784;5-min-Apgar-Score;Score RASS;67
9274-2;102785;5-min-Apgar-Score;Score AIS;71
9274-2;102787;5-min-Apgar-Score;Score APACHE2;60
9274-2;102788;5-min-Apgar-Score;Score Apgar;100
9274-2;102791;5-min-Apgar-Score;Score BPS;71
9274-2;102792;5-min-Apgar-Score;Score CIWA;67
9274-2;102795;5-min-Apgar-Score;Score CRIB;67
9274-2;102796;5-min-Apgar-Score;Score DRS;71
9274-2;102798;5-min-Apgar-Score;Score GDS;71
9274-2;102800;5-min-Apgar-Score;Score Kuss;67
9274-2;102801;5-min-Apgar-Score;Score MAAS;67
9274-2;102802;5-min-Apgar-Score;Score MMS;71
9274-2;102803;5-min-Apgar-Score;Score MOF;71
9274-2;102804;5-min-Apgar-Score;Score mRS;71
9274-2;102806;5-min-Apgar-Score;Score NIHSS;62
9274-2;102807;5-min-Apgar-Score;Score NIPS;67
9274-2;102810;5-min-Apgar-Score;Score RSS;71
9274-2;102811;5-min-Apgar-Score;Score RTS;71
9274-2;102812;5-min-Apgar-Score;Score SAS;71
9274-2;102813;5-min-Apgar-Score;Score Lachs;62
9274-2;102815;5-min-Apgar-Score;Score VICS;67
9274-2;103444;5-min-Apgar-Score;Score DGAI;67
9274-2;103458;5-min-Apgar-Score;Score DGAI;67
9274-2;103506;5-min-Apgar-Score;Score DGAI;67
9274-2;103507;5-min-Apgar-Score;Score DGAI;67
9274-2;103509;5-min-Apgar-Score;Score DGAI;67
9274-2;103510;5-min-Apgar-Score;Score DGAI;67
9274-2;103511;5-min-Apgar-Score;Score DGAI;67
9274-2;103512;5-min-Apgar-Score;Score DGAI;67
9274-2;103517;5-min-Apgar-Score;Score DGAI AufnVonOPAWR;60
9274-2;103518;5-min-Apgar-Score;Score DGAI;67
9274-2;103523;5-min-Apgar-Score;Score DGAI;67
9274-2;103527;5-min-Apgar-Score;Score DGAI;67
9274-2;103536;5-min-Apgar-Score;Score DGAI;67
9274-2;103538;5-min-Apgar-Score;Score DGAI;67
9274-2;103540;5-min-Apgar-Score;Score DGAI;67
9274-2;103543;5-min-Apgar-Score;Score DGAI;67
9274-2;103544;5-min-Apgar-Score;Score DGAI;67
9274-2;103545;5-min-Apgar-Score;Score DGAI;67
9274-2;103550;5-min-Apgar-Score;Score DGAI;67
9274-2;103551;5-min-Apgar-Score;Score DGAI;67
9274-2;103554;5-min-Apgar-Score;Score DGAI;67
9274-2;103556;5-min-Apgar-Score;Score DGAI;67
9274-2;103557;5-min-Apgar-Score;Score DGAI;67
9274-2;103558;5-min-Apgar-Score;Score DGAI;67
9274-2;103559;5-min-Apgar-Score;Score DGAI;67
9274-2;103560;5-min-Apgar-Score;Score DGAI;67
9274-2;103562;5-min-Apgar-Score;Score DGAI;67
9274-2;105222;5-min-Apgar-Score;Score NRS;71
9274-2;105223;5-min-Apgar-Score;Score BPS;71
9274-2;106651;5-min-Apgar-Score;Score UStix;62
9274-2;108395;5-min-Apgar-Score;Score FLACC;62
9274-2;108424;5-min-Apgar-Score;Score PRISMIII;65
9274-2;108441;5-min-Apgar-Score;Score SOS;71
9274-2;108458;5-min-Apgar-Score;Score SOS;71
9274-2;108680;5-min-Apgar-Score;Score NACA;67
9274-2;108684;5-min-Apgar-Score;Score ISS;71
9274-2;110976;5-min-Apgar-Score;Score FOUR;67
9274-2;117221;5-min-Apgar-Score;Score;100
9274-2;117225;5-min-Apgar-Score;Score Race;67
18718-7;101483;Zellmarkerdiagnostik;Diagnostik;67
18718-7;103752;Zellmarkerdiagnostik;Diagnostik;67
13086-4;107985;C3 nephritischer Faktor Serum Plasma;P C3;67
13086-4;107992;C3 nephritischer Faktor Serum Plasma;P C3;67
13086-4;108010;C3 nephritischer Faktor Serum Plasma;P C3;67
13086-4;110828;C3 nephritischer Faktor Serum Plasma;P C3;67
13086-4;110831;C3 nephritischer Faktor Serum Plasma;P C3;67
17003-5;104252;Serotonin Urin;Servoi Ti;61
17003-5;104280;Serotonin Urin;Servoi Ti;61
12180-6;102721;Calcium.ionisiert Serum Plasma ionenselektiver Membranelektrode (ISE);Calcium;100
12180-6;102743;Calcium.ionisiert Serum Plasma ionenselektiver Membranelektrode (ISE);Calcium;100
12180-6;103054;Calcium.ionisiert Serum Plasma ionenselektiver Membranelektrode (ISE);Calcium;100
32316-2;108510;Follitropin Serum Plasma Minuten Stimulation;Atmung Stimulation;76
12827-2;108510;Prolaktin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
2777-1;104833;Phosphat Serum Plasma;Apherese Plasma;61
2777-1;104834;Phosphat Serum Plasma;Apherese Plasma;61
2777-1;104846;Phosphat Serum Plasma;Apherese Plasma;61
2601-3;102615;Magnesium Serum Plasma;Mess Plasmavolumen;60
3449-6;103069;Ceftazidim Serum Plasma;ADM Plasmavolumen;60
3449-6;103085;Ceftazidim Serum Plasma;ADM Plasmavolumen;60
18914-2;102165;Cycloserin;PICCO SVRI;60
3170-8;100133;-Stunden-Probenmaterial;Enteralesonden;67
3170-8;104272;-Stunden-Probenmaterial;Servoi Tpause Prozent;60
17604-0;108246;-Stunden-Schweiß;Sectio sekundaer;60
32338-6;102585;Pyruvat Serum Plasma;Plasmarate;67
32338-6;104833;Pyruvat Serum Plasma;Apherese Plasma;63
32338-6;104834;Pyruvat Serum Plasma;Apherese Plasma;63
32338-6;104846;Pyruvat Serum Plasma;Apherese Plasma;63
12592-2;108510;Dehydroepiandrosteron (DHEA) Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
33812-9;108157;Insulin Serum Plasma . Probenmaterial Stimulation;Insulin ja;82
33812-9;108158;Insulin Serum Plasma . Probenmaterial Stimulation;Insulin nein;74
33812-9;108510;Insulin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
12824-9;108510;Prolaktin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
9463-1;105020;Arsen Wasser;A Sense;63
9463-1;105033;Arsen Wasser;A-Sense;63
9463-1;108280;Arsen Wasser;Fruchtwasser erbsbrei;61
14147-3;108510;Somatotropin Serum Plasma ,5 Stunden Stimulation;Atmung Stimulation;76
35090-0;102380;Anamnese;AnamneseVor;84
35090-0;102696;Anamnese;Abnahme;67
35090-0;102727;Anamnese;Mess Abnahme;60
35090-0;106521;Anamnese;Anamnese Nein;100
35090-0;106522;Anamnese;Anamnese Ja;100
35090-0;106523;Anamnese;Anamnese Tetanusschutz Nein;100
35090-0;106524;Anamnese;Anamnese Tetanusschutz;100
35090-0;106525;Anamnese;Anamnese Tetanusschutz Ja;100
35090-0;106526;Anamnese;Anamnese Schwangerschaft;100
35090-0;106527;Anamnese;Anamnese Schwangerschaft Nein;100
35090-0;106528;Anamnese;Anamnese Schwangerschaft Ja;100
35090-0;106649;Anamnese;Anamnese;100
35090-0;108257;Anamnese;F Sozialanamnese;67
35090-0;108258;Anamnese;F Sozialanamnese;67
35090-0;108259;Anamnese;F Sozialanamnese;67
25654-5;108510;Gastrin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
140-4;107861;Ceftriaxon minimaler letaler Konzentration (MLK);O2 Konzentration;90
140-4;107864;Ceftriaxon minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
140-4;107867;Ceftriaxon minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
20656-5;104833;Serin Serum Plasma;Apherese Plasma;67
20656-5;104834;Serin Serum Plasma;Apherese Plasma;67
20656-5;104846;Serin Serum Plasma;Apherese Plasma;67
266-7;107861;Gentamicin minimaler letaler Konzentration (MLK);O2 Konzentration;90
266-7;107864;Gentamicin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
266-7;107867;Gentamicin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
49929-3;102107;Protein Pleuraflüssigkeit/Protein Serum;PatFluessigkeitRate;61
14955-9;102581;Zink Serum Plasma;Plasmavolumen;60
14955-9;103063;Zink Serum Plasma;Plasmavolumen;60
14955-9;103065;Zink Serum Plasma;Plasmavolumen;60
14955-9;103143;Zink Serum Plasma;Plasmaloesung;60
20389-3;101642;Mupirocin;Proc;62
27838-2;108510;Somatotropin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
17243-7;108510;Prolaktin Serum Plasma -- Stimulation;Atmung Stimulation;76
1618-8;108157;Prolaktin Serum Plasma Minuten Dosis Insulin intravenös;Insulin ja;82
1618-8;108158;Prolaktin Serum Plasma Minuten Dosis Insulin intravenös;Insulin nein;74
5645-7;30;Ethanol Urin;Behandlung;64
25501-8;102107;Phosphat Körperflüssigkeit;PatFluessigkeitRate;60
455-6;107861;Spiramycin minimaler letaler Konzentration (MLK);O2 Konzentration;90
455-6;107864;Spiramycin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
455-6;107867;Spiramycin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
2128-7;102729;Citrat Urin;Citrat;100
2128-7;102742;Citrat Urin;CitratLoesung;67
2128-7;102744;Citrat Urin;CitratDosis;64
2128-7;102748;Citrat Urin;CitratLoesung;67
2128-7;103051;Citrat Urin;Citratloesung;67
2128-7;103053;Citrat Urin;Citrat;100
2128-7;103056;Citrat Urin;Citratloesung;67
2128-7;103057;Citrat Urin;CitratBlut;67
2128-7;104975;Citrat Urin;CRRT CitratBlut;62
2128-7;104996;Citrat Urin;CRRT CitratBlut;62
49764-4;102721;Calcium Amnionflüssigkeit;Calcium;100
49764-4;102743;Calcium Amnionflüssigkeit;Calcium;100
49764-4;103054;Calcium Amnionflüssigkeit;Calcium;100
26656-9;108675;HTLV Antikörper Serum;P Antikoerper Mutter;65
366-5;107861;Norfloxacin minimaler letaler Konzentration (MLK);O2 Konzentration;90
366-5;107864;Norfloxacin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
366-5;107867;Norfloxacin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
14619-1;104833;Aussehen Plasma;Apherese Plasma;67
14619-1;104834;Aussehen Plasma;Apherese Plasma;67
14619-1;104846;Aussehen Plasma;Apherese Plasma;67
14619-1;107787;Aussehen Plasma;Doku Aussehen Dialysat;70
47140-9;108510;Adrenalin Urin . Probenmaterial Stimulation;Atmung Stimulation;76
15347-8;108510;Somatotropin Serum Plasma Minuten Stimulation;Atmung Stimulation;76
220-4;107861;Dicloxacillin minimaler letaler Konzentration (MLK);O2 Konzentration;90
220-4;107864;Dicloxacillin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
220-4;107867;Dicloxacillin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
2750-8;102107;pH Pleuraflüssigkeit;PatFluessigkeitRate;63
2750-8;102113;pH Pleuraflüssigkeit;Mess PatFluessigkeitRate;60
196-6;107861;Cloxacillin minimaler letaler Konzentration (MLK);O2 Konzentration;90
196-6;107864;Cloxacillin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
196-6;107867;Cloxacillin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
55472-5;108510;Cortisol Serum Plasma ,5 Stunden Stimulation;Atmung Stimulation;76
60591-5;101391;Patientenkurzakte - Dokument;Dokumentation;62
60591-5;101400;Patientenkurzakte - Dokument;Dokumentation Filtratdruck;62
60591-5;101405;Patientenkurzakte - Dokument;Dokumentation;62
60591-5;101417;Patientenkurzakte - Dokument;Dokumentation;62
60591-5;103884;Patientenkurzakte - Dokument;Doku Staerke Pulsation;62
18927-4;101384;Fusidat;Umsatz;62
18927-4;101393;Fusidat;Umsatz;62
18927-4;102495;Fusidat;Umsatz;62
18927-4;102500;Fusidat;Umsatz;62
18927-4;103592;Fusidat;Zusatz;62
8303-0;100085;Körpergröße;Pacergeräte;67
8303-0;100356;Körpergröße;Koerperpflege;67
53750-6;108510;Wasserstoff/Ausatemluft Exhalat Minuten Stimulation;Atmung Stimulation;76
17582-8;102106;Silber Dialysat;Dialysatfluß;69
17582-8;102114;Silber Dialysat;Mess Dialysatfluß;65
17582-8;102690;Silber Dialysat;Dialysatloesung;67
17582-8;102755;Silber Dialysat;Dialysat;100
17582-8;102897;Silber Dialysat;Dialysatfiltrate;71
17582-8;103042;Silber Dialysat;Dialysatlösung;64
17582-8;103043;Silber Dialysat;Dialysat;100
17582-8;103045;Silber Dialysat;BM25 Dialysat;76
17582-8;103123;Silber Dialysat;Dialysat;100
17582-8;103124;Silber Dialysat;BM25 Dialysat;76
17582-8;104978;Silber Dialysat;CRRT Dialysat;76
17582-8;104999;Silber Dialysat;CRRT Dialysat;76
17582-8;107787;Silber Dialysat;Doku Aussehen Dialysat;70
17582-8;107790;Silber Dialysat;Doku Dialysat1;62
17582-8;107791;Silber Dialysat;Doku Dialysat2;62
17582-8;107802;Silber Dialysat;Dialysat1;67
17582-8;107803;Silber Dialysat;Dialysat2;67
2842-3;102585;Prolaktin Serum Plasma;Plasmarate;62
5894-1;100203;Prothrombinzeit (PT) /normal;PT;100
5894-1;100676;Prothrombinzeit (PT) /normal;PT;100
8654-6;104403;Krankenhausentlassmedikation;Praemedikation;62
8654-6;106592;Krankenhausentlassmedikation;F MedDoku Entlassmedikation;62
11042-9;104913;Creatinin Serum Plasma -- Dialyse;Dialyse Zeit;74
11042-9;110802;Creatinin Serum Plasma -- Dialyse;P Dialyse Zeit;67
11042-9;110818;Creatinin Serum Plasma -- Dialyse;P Dialyse Zeit;67
23210-8;108675;Listeria Antikörper Serum;P Antikoerper Mutter;64
20977-5;101387;Harnstoff Blut;HarnstoffZiel;67
20977-5;102477;Harnstoff Blut;HarnstoffZiel;67
20977-5;102478;Harnstoff Blut;HarnstoffZiel;67
18220-4;108510;Adrenalin Urin . Probenmaterial Stimulation;Atmung Stimulation;76
18905-0;102178;Cinoxacin;COCI;62
9278-3;103397;Atemfrequenz spezielle Umstände;Siemens Frequenz;61
89269-5;108243;Körperlänge, gemessen -- Geburt;Geburt an;80
89269-5;108244;Körperlänge, gemessen -- Geburt;Geburt VE;80
51489-3;108510;Cortisol Speichel . Probenmaterial Stimulation;Atmung Stimulation;76
24339-4;102108;Blutgasanalyse ( ) - Venöses Blut;Mess Blutfluss;60
25582-8;108510;C-Peptid Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
47663-0;108157;Insulin Serum Plasma Minuten Dosis Glucose;Insulin ja;82
47663-0;108158;Insulin Serum Plasma Minuten Dosis Glucose;Insulin nein;74
1959-6;102597;Bicarbonat Blut;Bicarbonat;100
1959-6;102639;Bicarbonat Blut;Mess Bicarbonat;80
1959-6;102677;Bicarbonat Blut;Bicarbonat;100
1959-6;103057;Bicarbonat Blut;CitratBlut;64
1959-6;103160;Bicarbonat Blut;Bicarbonat;100
1959-6;103191;Bicarbonat Blut;Bicarbonat;100
1959-6;103227;Bicarbonat Blut;Bicarbonat;100
1959-6;103243;Bicarbonat Blut;Bicarbonat;100
1959-6;104881;Bicarbonat Blut;Bicarbonat;100
1959-6;104897;Bicarbonat Blut;Bicarbonat;100
1959-6;104922;Bicarbonat Blut;Bicarbonat;100
1959-6;104937;Bicarbonat Blut;Bicarbonat;100
1959-6;110786;Bicarbonat Blut;P Bicarbonat;91
1959-6;110806;Bicarbonat Blut;P Bicarbonat;91
1621-2;108157;Prolaktin Serum Plasma -- Dosis Insulin intravenös;Insulin ja;82
1621-2;108158;Prolaktin Serum Plasma -- Dosis Insulin intravenös;Insulin nein;74
12461-0;108510;Corticotropin Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
5920-4;102114;Protein Dialysat;Mess Dialysatfluß;62
5920-4;102631;Protein Dialysat;Mess Dialysatvolumen;61
5920-4;102690;Protein Dialysat;Dialysatloesung;71
5920-4;102755;Protein Dialysat;Dialysat;100
5920-4;102897;Protein Dialysat;Dialysatfiltrate;69
5920-4;103042;Protein Dialysat;Dialysatlösung;62
5920-4;103043;Protein Dialysat;Dialysat;100
5920-4;103045;Protein Dialysat;BM25 Dialysat;76
5920-4;103123;Protein Dialysat;Dialysat;100
5920-4;103124;Protein Dialysat;BM25 Dialysat;76
5920-4;104913;Protein Dialysat;Dialyse Zeit;64
5920-4;104978;Protein Dialysat;CRRT Dialysat;76
5920-4;104999;Protein Dialysat;CRRT Dialysat;76
5920-4;105009;Protein Dialysat;CRRT Dialysatloesung;61
5920-4;107787;Protein Dialysat;Doku Aussehen Dialysat;67
5920-4;107790;Protein Dialysat;Doku Dialysat1;67
5920-4;107791;Protein Dialysat;Doku Dialysat2;67
5920-4;107802;Protein Dialysat;Dialysat1;64
5920-4;107803;Protein Dialysat;Dialysat2;64
5920-4;110802;Protein Dialysat;P Dialyse Zeit;67
5920-4;110818;Protein Dialysat;P Dialyse Zeit;67
50752-5;108157;Cortisol Serum Plasma Minuten Dosis Insulin intravenös;Insulin ja;82
50752-5;108158;Cortisol Serum Plasma Minuten Dosis Insulin intravenös;Insulin nein;74
12525-2;108510;Noradrenalin Plasma Stunde Stimulation;Atmung Stimulation;76
975-3;104833;D-Antikörper Serum Plasma;Apherese Plasma;67
975-3;104834;D-Antikörper Serum Plasma;Apherese Plasma;67
975-3;104846;D-Antikörper Serum Plasma;Apherese Plasma;67
6188-7;108675;Muskat IgE-Antikörper Serum;P Antikoerper Mutter;65
26741-9;104252;Serin Urin;Servoi Ti;63
26741-9;104280;Serin Urin;Servoi Ti;63
47106-0;104833;Ephedrin Serum Plasma;Apherese Plasma;72
47106-0;104834;Ephedrin Serum Plasma;Apherese Plasma;72
47106-0;104846;Ephedrin Serum Plasma;Apherese Plasma;72
47106-0;104852;Ephedrin Serum Plasma;Apherese Plasmaloesung;60
19123-9;102615;Magnesium Serum Plasma;Mess Plasmavolumen;60
8073-9;108157;Bovines Insulin Antikörper Serum;Insulin ja;82
8073-9;108158;Bovines Insulin Antikörper Serum;Insulin nein;74
39998-0;108510;Glucose Serum Plasma Minuten Stimulation;Atmung Stimulation;76
3793-7;104833;Methotrexat Serum Plasma;Apherese Plasma;62
3793-7;104834;Methotrexat Serum Plasma;Apherese Plasma;62
3793-7;104846;Methotrexat Serum Plasma;Apherese Plasma;62
14711-6;104833;Adrenalin Plasma;Apherese Plasma;65
14711-6;104834;Adrenalin Plasma;Apherese Plasma;65
14711-6;104846;Adrenalin Plasma;Apherese Plasma;65
57347-7;102106;Kupfer Dialysat;Dialysatfluß;69
57347-7;102114;Kupfer Dialysat;Mess Dialysatfluß;65
57347-7;102690;Kupfer Dialysat;Dialysatloesung;60
57347-7;102755;Kupfer Dialysat;Dialysat;100
57347-7;102897;Kupfer Dialysat;Dialysatfiltrate;65
57347-7;103042;Kupfer Dialysat;Dialysatlösung;64
57347-7;103043;Kupfer Dialysat;Dialysat;100
57347-7;103045;Kupfer Dialysat;BM25 Dialysat;76
57347-7;103095;Kupfer Dialysat;Doku Dialysatlösung;67
57347-7;103123;Kupfer Dialysat;Dialysat;100
57347-7;103124;Kupfer Dialysat;BM25 Dialysat;76
57347-7;104978;Kupfer Dialysat;CRRT Dialysat;76
57347-7;104999;Kupfer Dialysat;CRRT Dialysat;76
57347-7;107787;Kupfer Dialysat;Doku Aussehen Dialysat;70
57347-7;107790;Kupfer Dialysat;Doku Dialysat1;76
57347-7;107791;Kupfer Dialysat;Doku Dialysat2;76
57347-7;107802;Kupfer Dialysat;Dialysat1;67
57347-7;107803;Kupfer Dialysat;Dialysat2;67
57347-7;110802;Kupfer Dialysat;P Dialyse Zeit;62
57347-7;110818;Kupfer Dialysat;P Dialyse Zeit;62
27869-7;108510;Follitropin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
12834-8;108510;Prolaktin Serum Plasma Minuten Stimulation;Atmung Stimulation;76
57358-4;108510;Lactat Serum Plasma Stunden Stimulation;Atmung Stimulation;76
16294-1;108510;11-Desoxycorticosteron Serum Plasma -- Stimulation;Atmung Stimulation;76
294-9;107861;Ketoconazol minimaler letaler Konzentration (MLK);O2 Konzentration;90
294-9;107864;Ketoconazol minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
294-9;107867;Ketoconazol minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
50761-6;104833;A-IgG-Antikörper Serum Plasma;Apherese Plasma;60
50761-6;104834;A-IgG-Antikörper Serum Plasma;Apherese Plasma;60
50761-6;104846;A-IgG-Antikörper Serum Plasma;Apherese Plasma;60
13428-8;108510;Noradrenalin Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
