9271-8	10M Apgar Score
42884-7	CD52 Cells NFr Spec
17174-4	CD54 Cells NFr Bld
8133-1	CD56 Cells NFr Bld
21166-4	CD56 Cells NFr Spec
8134-9	CD57 Cells NFr Bld
32497-0	CD57 Cells NFr Mar
32498-8	CD57 Cells NFr Spec
13845-3	CD5 Blasts NFr Bld
8131-5	CD5+CD19+ Cells NFr Bld
51342-4	CD5+CD19+ Cells NFr Fld
32510-0	CD5+CD19+ Cells NFr Mar
32523-3	CD5+CD19+ Cells NFr Spec
9559-6	CD5 Cells # Bld
8132-3	CD5 Cells NFr Bld
35640-2	CD5 Cells NFr Mar
20611-0	CD5 Cells NFr Spec
21018-7	CD61 Cells # Bld
20478-4	CD61 Cells NFr Bld
51360-6	CD61 Cells NFr CSF
21167-2	CD61 Cells NFr Spec
17181-9	CD62P Cells NFr Bld
17185-0	CD66b Cells NFr Bld
17196-7	CD79a Cells NFr Bld
42933-2	CD79a Cells NFr Spec
17197-5	CD79b Cells NFr Bld
42889-6	CD79b Cells NFr Mar
33991-1	CD79b Cells NFr Spec
13846-1	CD7 Blasts NFr Bld
8135-6	CD7 Cells NFr Bld
35641-0	CD7 Cells NFr Mar
20612-8	CD7 Cells NFr Spec
13339-7	CD8+CD56+ Cells NFr Bld
17209-8	CD94 Cells NFr Bld
9365-8	C diff Ab Titr Ser
61367-9	C diff DNA Spec Ql NAA+probe
83087-7	C diff GDH Stl Ql IA
26697-3	C diff IgA Ser-aCnc
26702-1	C diff IgG Ser-aCnc
34712-0	C diff Stl Ql
562-9	C diff Stl Ql Cult
6364-4	C diff Tox A+B Spec IA-aCnc
6363-6	C diff Tox A+B Stl IA-aCnc
34713-8	C diff Tox A+B Stl Ql
34468-9	C diff Tox A+B Stl Ql IA
6359-4	C diff Tox A Stl IA-aCnc
13957-6	C diff Tox A Stl Ql IA
6366-9	C diff Tox B Spec IA-aCnc
6365-1	C diff Tox B Stl IA-aCnc
10895-1	C diff Tox B Stl Ql
46131-9	C diff Tox B Stl Ql CT Tiss Cult
80685-1	C dif tox tcdA+tcdB Stl Ql NAA+probe
5115-1	C diphtheriae Ab Ser-aCnc
5116-9	C diphtheriae Ab Ser IA-aCnc
67561-1	C diphtheriae DNA Spec Ql NAA+probe
13227-4	C diphtheriae IgG Ser-aCnc
45166-6	C diphtheriae IgG Ser Ql
16676-9	C diphtheriae Spec Ql Cult
34625-4	C diphtheriae Tox Ab Ser-aCnc
26630-4	C diphtheriae Tox Ab Ser Ql
88584-8	C diphtheriae Upper resp Ql Cult
13999-8	CDT SerPl-aCnc
12949-4	CDT SerPl-mCnc
48495-6	CDT/Tf MFr SerPl
2037-0	CEA CSF-mCnc
12515-3	CEA Fld-mCnc
19169-2	CEA Plr-mCnc
19170-0	CEA Plr-sCnc
40622-3	CEA Prt-mCnc
83085-1	CEA SerPl IA-mCnc
2039-6	CEA SerPl-mCnc
19167-6	CEA SerPl-sCnc
2038-8	CEA Smn-mCnc
26049-7	Cedar IgE Qn
26050-5	Cedar IgE RAST Ql
55627-4	Cefacetrile Islt Grad strip
55626-6	Cefacetrile Islt KB
55624-1	Cefacetrile Islt MIC
55625-8	Cefacetrile Susc Islt
19733-5	Cefaclor IgE Qn
21150-8	Cefaclor IgE RAST Ql
34263-4	Cefaclor IgG Qn
6986-4	Cefaclor Islt Grad strip
85-1	Cefaclor Islt KB
84-4	Cefaclor Islt MIC
83-6	Cefaclor Islt MLC
18874-8	Cefaclor Susc Islt
86-9	Cefaclor Titr SBT
55628-2	Cefadroxil Islt Grad strip
65-3	Cefadroxil Islt KB
64-6	Cefadroxil Islt MIC
63-8	Cefadroxil Islt MLC
18875-5	Cefadroxil Susc Islt
66-1	Cefadroxil Titr SBT
41669-3	Cefamandole Islt Grad strip
69-5	Cefamandole Islt KB
68-7	Cefamandole Islt MIC
67-9	Cefamandole Islt MLC
55637-3	Cefamandole+Sulbactam Islt Grad strip
55636-5	Cefamandole+Sulbactam Islt KB
55634-0	Cefamandole+Sulbactam Islt MIC
55635-7	Cefamandole+Sulbactam Susc Islt
18876-3	Cefamandole Susc Islt
70-3	Cefamandole Titr SBT
55639-9	Cefatrizine Islt Grad strip
73-7	Cefatrizine Islt KB
72-9	Cefatrizine Islt MIC
71-1	Cefatrizine Islt MLC
18877-1	Cefatrizine Susc Islt
74-5	Cefatrizine Titr SBT
41670-1	ceFAZolin Islt Grad strip
77-8	ceFAZolin Islt KB
76-0	ceFAZolin Islt MIC
75-2	ceFAZolin Islt MLC
85422-4	ceFAZolin Islt.UTI MIC
3443-9	ceFAZolin SerPl-mCnc
18878-9	ceFAZolin Susc Islt
78-6	ceFAZolin Titr SBT
16566-2	ceFAZolin Ur-mCnc
76143-7	Cefcapene Islt MIC
100044-7	Cefcapene Susc Islt
35757-4	Cefdinir Islt Grad strip
35758-2	Cefdinir Islt KB
23637-2	Cefdinir Islt MIC
23636-4	Cefdinir Susc Islt
35760-8	Cefditoren Islt Grad strip
35759-0	Cefditoren Islt KB
35761-6	Cefditoren Islt MIC
35762-4	Cefditoren Susc Islt
35763-2	Cefepime+Clav Islt Grad strip
42350-9	Cefepime+Clav Islt KB
42351-7	Cefepime+Clav Islt MIC
42353-3	Cefepime+Clav Susc Islt
6987-2	Cefepime Islt Grad strip
8272-7	Cefepime Islt KB
31143-1	Cefepime Islt.mening Grad strip
58412-8	Cefepime Islt.mening KB
31142-3	Cefepime Islt.mening MIC
6644-9	Cefepime Islt MIC
6643-1	Cefepime Islt MLC
50631-1	Cefepime Islt SlowMyco
38363-8	Cefepime SerPl-mCnc
18879-7	Cefepime Susc Islt
8273-5	Cefepime Titr SBT
55640-7	Cefetamet Islt Grad strip
35764-0	Cefetamet Islt KB
35765-7	Cefetamet Islt MIC
32377-4	Cefetamet Susc Islt
95767-0	Cefiderocol Islt KB
35766-5	Cefixime Islt Grad strip
81-0	Cefixime Islt KB
80-2	Cefixime Islt MIC
79-4	Cefixime Islt MLC
18880-5	Cefixime Susc Islt
82-8	Cefixime Titr SBT
55641-5	Cefmenoxime Islt Grad strip
54174-8	Cefmenoxime Islt KB
54203-5	Cefmenoxime Islt MIC
32375-8	Cefmenoxime Susc Islt
25222-1	Cefmetazole 30 ug/mL Islt SlowMyco
11575-8	Cefmetazole Islt Grad strip
89-3	Cefmetazole Islt KB
88-5	Cefmetazole Islt MIC
87-7	Cefmetazole Islt MLC
18881-3	Cefmetazole Susc Islt
90-1	Cefmetazole Titr SBT
54908-9	Cefminox Susc Islt
6988-0	Cefodizime Islt Grad strip
93-5	Cefodizime Islt KB
92-7	Cefodizime Islt MIC
91-9	Cefodizime Islt MLC
18882-1	Cefodizime Susc Islt
94-3	Cefodizime Titr SBT
55642-3	Cefonocid Islt Grad strip
97-6	Cefonocid Islt KB
96-8	Cefonocid Islt MIC
95-0	Cefonocid Islt MLC
18883-9	Cefonocid Susc Islt
98-4	Cefonocid Titr SBT
35767-3	Cefoperazone Islt Grad strip
101-6	Cefoperazone Islt KB
100-8	Cefoperazone Islt MIC
99-2	Cefoperazone Islt MLC
35768-1	Cefoperazone+Sulbac Islt Grad strip
54168-0	Cefoperazone+Sulbac Islt KB
54167-2	Cefoperazone+Sulbac Islt MIC
54166-4	Cefoperazone+Sulbac Susc Islt
18884-7	Cefoperazone Susc Islt
102-4	Cefoperazone Titr SBT
55643-1	Ceforanide Islt Grad strip
105-7	Ceforanide Islt KB
104-0	Ceforanide Islt MIC
103-2	Ceforanide Islt MLC
18885-4	Ceforanide Susc Islt
106-5	Ceforanide Titr SBT
41671-9	Cefotaxime+Clav Islt Grad strip
35769-9	Cefotaxime+Clav Islt KB
35770-7	Cefotaxime+Clav Islt MIC
35771-5	Cefotaxime+Clav Susc Islt
6989-8	Cefotaxime Islt Grad strip
109-9	Cefotaxime Islt KB
31139-9	Cefotaxime Islt.mening Grad strip
55189-5	Cefotaxime Islt.mening KB
31138-1	Cefotaxime Islt.mening MIC
108-1	Cefotaxime Islt MIC
107-3	Cefotaxime Islt MLC
50632-9	Cefotaxime Islt SlowMyco
3446-2	Cefotaxime SerPl-mCnc
55644-9	Cefotaxime+Sulbac Islt Grad strip
54193-8	Cefotaxime+Sulbac Islt KB
54192-0	Cefotaxime+Sulbac Islt MIC
54191-2	Cefotaxime+Sulbac Susc Islt
18886-2	Cefotaxime Susc Islt
52128-6	Cefotaxime Susc Islt.mening
110-7	Cefotaxime Titr SBT
41674-3	cefoTEtan+Clav Islt Grad strip
41673-5	cefoTEtan+Clav Islt KB
41672-7	cefoTEtan+Clav Islt MIC
41729-5	cefoTEtan+Clav Susc Islt
6990-6	cefoTEtan Islt Grad strip
113-1	cefoTEtan Islt KB
112-3	cefoTEtan Islt MIC
111-5	cefoTEtan Islt MLC
18887-0	cefoTEtan Susc Islt
114-9	cefoTEtan Titr SBT
55740-5	Cefotiam hexetil Islt Grad strip
55739-7	Cefotiam hexetil Islt KB
55737-1	Cefotiam hexetil Islt MIC
55738-9	Cefotiam hexetil Susc Islt
55645-6	Cefotiam Islt Grad strip
35772-3	Cefotiam Islt KB
35773-1	Cefotiam Islt MIC
32374-1	Cefotiam Susc Islt
76147-8	Cefovecin Islt MIC
25220-5	cefOXitin 30 ug/mL Islt SlowMyco
41677-6	cefOXitin+Clav Islt Grad strip
41676-8	cefOXitin+Clav Islt KB
41675-0	cefOXitin+Clav Islt MIC
41730-3	cefOXitin+Clav Susc Islt
6991-4	cefOXitin Islt Grad strip
117-2	cefOXitin Islt KB
116-4	cefOXitin Islt MIC
115-6	cefOXitin Islt MLC
25366-6	cefOXitin Islt SlowMyco
18888-8	cefOXitin Susc Islt
118-0	cefOXitin Titr SBT
53820-7	Cefozopran Islt MIC
6992-2	Cefpirome Islt Grad strip
8276-8	Cefpirome Islt KB
8275-0	Cefpirome Islt MIC
8274-3	Cefpirome Islt MLC
18889-6	Cefpirome Susc Islt
6650-6	Cefpirome Titr SBT
90849-1	Cefpodoxime 4 ug/mL Islt SlowMyco
41678-4	Cefpodoxime+Clav Islt Grad strip
41680-0	Cefpodoxime+Clav Islt KB
41679-2	Cefpodoxime+Clav Islt MIC
41731-1	Cefpodoxime+Clav Susc Islt
6993-0	Cefpodoxime Islt Grad strip
121-4	Cefpodoxime Islt KB
120-6	Cefpodoxime Islt MIC
119-8	Cefpodoxime Islt MLC
18890-4	Cefpodoxime Susc Islt
122-2	Cefpodoxime Titr SBT
6994-8	Cefprozil Islt Grad strip
125-5	Cefprozil Islt KB
124-8	Cefprozil Islt MIC
123-0	Cefprozil Islt MLC
18891-2	Cefprozil Susc Islt
126-3	Cefprozil Titr SBT
55647-2	Cefsulodin Islt Grad strip
129-7	Cefsulodin Islt KB
128-9	Cefsulodin Islt MIC
127-1	Cefsulodin Islt MLC
18892-0	Cefsulodin Susc Islt
130-5	Cefsulodin Titr SBT
73649-6	Ceftaroline+Avibactam Islt KB
73626-4	Ceftaroline+Avibactam Islt MIC
73604-1	Ceftaroline+Avibactam Susc Islt
74170-2	Ceftaroline Islt Grad strip
73650-4	Ceftaroline Islt KB
73627-2	Ceftaroline Islt MIC
73605-8	Ceftaroline Susc Islt
90850-9	cefTAZidime 1 ug/mL Islt SlowMyco
87734-0	cefTAZidime+Avibactam Islt Grad strip
73648-8	cefTAZidime+Avibactam Islt KB
73625-6	cefTAZidime+Avibactam Islt MIC
73603-3	cefTAZidime+Avibactam Susc Islt
42352-5	cefTAZidime+Clav Islt Grad strip
35774-9	cefTAZidime+Clav Islt KB
35775-6	cefTAZidime+Clav Islt MIC
35776-4	cefTAZidime+Clav Susc Islt
4166-5	cefTAZidime Dose
6995-5	cefTAZidime Islt Grad strip
134-7	cefTAZidime Islt KB
133-9	cefTAZidime Islt MIC
132-1	cefTAZidime Islt MLC
58705-5	cefTAZidime Islt SlowMyco
3449-6	cefTAZidime SerPl-mCnc
21151-6	cefTAZidime Spec-mCnc
55651-4	cefTAZidime+Sulbactam Islt Grad strip
55650-6	cefTAZidime+Sulbactam Islt KB
55648-0	cefTAZidime+Sulbactam Islt MIC
55649-8	cefTAZidime+Sulbactam Susc Islt
18893-8	cefTAZidime Susc Islt
135-4	cefTAZidime Titr SBT
76144-5	Cefteram Islt MIC
6996-3	Ceftibuten Islt Grad strip
35777-2	Ceftibuten Islt KB
35778-0	Ceftibuten Islt MIC
35779-8	Ceftibuten Susc Islt
35780-6	Ceftiofur Islt KB
35781-4	Ceftiofur Islt MIC
6997-1	Ceftizoxime Islt Grad strip
138-8	Ceftizoxime Islt KB
137-0	Ceftizoxime Islt MIC
136-2	Ceftizoxime Islt MLC
20378-6	Ceftizoxime Islt SlowMyco
18894-6	Ceftizoxime Susc Islt
139-6	Ceftizoxime Titr SBT
85052-9	Ceftobiprole Islt Grad strip
43269-0	Ceftobiprole Islt KB
43271-6	Ceftobiprole Islt MIC
43270-8	Ceftobiprole Islt MLC
43272-4	Ceftobiprole Susc Islt
87735-7	Ceftolozane+Tazobactam Islt Grad strip
73647-0	Ceftolozane+Tazobactam Islt KB
73624-9	Ceftolozane+Tazobactam Islt MIC
73602-5	Ceftolozane+Tazobactam Susc Islt
41683-4	cefTRIAXone+Clav Islt Grad strip
41682-6	cefTRIAXone+Clav Islt KB
41681-8	cefTRIAXone+Clav Islt MIC
41732-9	cefTRIAXone+Clav Susc Islt
6998-9	cefTRIAXone Islt Grad strip
142-0	cefTRIAXone Islt KB
31141-5	cefTRIAXone Islt.mening Grad strip
55190-3	cefTRIAXone Islt.mening KB
31140-7	cefTRIAXone Islt.mening MIC
141-2	cefTRIAXone Islt MIC
140-4	cefTRIAXone Islt MLC
25367-4	cefTRIAXone Islt SlowMyco
3451-2	cefTRIAXone SerPl-mCnc
18895-3	cefTRIAXone Susc Islt
50633-7	cefTRIAXone Susc Islt.mening
143-8	cefTRIAXone Titr SBT
55654-8	Cefuroxime Islt Grad strip
74699-0	Cefuroxime Islt KB
51774-8	Cefuroxime Islt MIC
55653-0	Cefuroxime Oral Islt Grad strip
35782-2	Cefuroxime Oral Islt KB
20460-2	Cefuroxime Oral Islt MIC
35783-0	Cefuroxime Oral Susc Islt
6999-7	Cefuroxime Parenter Islt Grad strip
146-1	Cefuroxime Parenter Islt KB
145-3	Cefuroxime Parenter Islt MIC
144-6	Cefuroxime Parenter Islt MLC
18896-1	Cefuroxime Parenter Susc Islt
147-9	Cefuroxime Parenter Titr SBT
51724-3	Cefuroxime Susc Islt
28066-9	Celecoxib SerPl-mCnc
6065-7	Celery IgE Qn
15618-2	Celery IgE RAST Ql
56213-2	Celery IgG4-mCnc
7197-7	Celery IgG Qn
21152-4	Celery IgG RAST Ql
33255-1	Cell Fract Bld-Imp
12182-2	Cells # Fld Manual
32162-0	Cells # Plr Manual
58434-2	Cells Pnl UrnS
32163-8	Cells # Prt Manual
32164-6	Cells # Snv Manual
58438-3	Cells UrnS Micro
32760-1	Cell type Spec
16570-4	Centromere Ab Ser Ql IF
5077-3	Centromere Ab Titr Ser IF
53982-5	Centromere B Ab Ser-aCnc
53981-7	Centromere B Ab Ser Ql
56734-7	Centromere B Ab Ser Ql IB
54001-3	Centromere F Ab Ser Ql IF
54002-1	Centromere F Ab Titr Ser IF
35272-4	Centromere IgG Ser Ql
35784-8	Cephalexin Islt Grad strip
150-3	Cephalexin Islt KB
149-5	Cephalexin Islt MIC
148-7	Cephalexin Islt MLC
3453-8	Cephalexin SerPl-mCnc
18897-9	Cephalexin Susc Islt
151-1	Cephalexin Titr SBT
154-5	Cephaloglycin Islt KB
153-7	Cephaloglycin Islt MIC
41684-2	Cephaloridine Islt Grad strip
158-6	Cephaloridine Islt KB
157-8	Cephaloridine Islt MIC
156-0	Cephaloridine Islt MLC
18899-5	Cephaloridine Susc Islt
159-4	Cephaloridine Titr SBT
7000-3	Cephalothin Islt Grad strip
162-8	Cephalothin Islt KB
161-0	Cephalothin Islt MIC
160-2	Cephalothin Islt MLC
55633-2	Cephalothin+Sulbactam Islt Grad strip
55632-4	Cephalothin+Sulbactam Islt KB
55630-8	Cephalothin+Sulbactam Islt MIC
55631-6	Cephalothin+Sulbactam Susc Islt
18900-1	Cephalothin Susc Islt
163-6	Cephalothin Titr SBT
55638-1	Cephapirin Islt Grad strip
166-9	Cephapirin Islt KB
165-1	Cephapirin Islt MIC
164-4	Cephapirin Islt MLC
18901-9	Cephapirin Susc Islt
167-7	Cephapirin Titr SBT
55646-4	Cephradine Islt Grad strip
170-1	Cephradine Islt KB
169-3	Cephradine Islt MIC
168-5	Cephradine Islt MLC
18902-7	Cephradine Susc Islt
171-9	Cephradine Titr SBT
76150-2	CEQ Islt MIC
46716-7	Ceruloplasmin DBS-mCnc
2064-4	Ceruloplasmin SerPl-mCnc
47600-2	Ceruloplasmin SerPl-sCnc
88456-9	CEV IgG+IgM Ser IF-Imp
49195-1	CEV IgG Ser-aCnc
96507-9	CEV IgG Spec Ql IA
49194-4	CEV IgG Titr CSF
49138-1	CEV IgG Titr CSF IF
35694-9	CEV IgG Titr Ser
49140-7	CEV IgG Titr Ser IF
96537-6	CEV IgM Spec Ql IA
49193-6	CEV IgM Titr CSF
49139-9	CEV IgM Titr CSF IF
35695-6	CEV IgM Titr Ser
49141-5	CEV IgM Titr Ser IF
97922-9	CEV RNA Spec Ql NAA+probe
31278-5	C fetus Ab Ser-aCnc
25333-6	C fetus Ab Titr Ser
25363-3	C fetus Ab Titr Ser CF
31756-0	C fetus Ag Spec Ql
22965-8	C fetus Ag Spec Ql IF
99014-3	C freundii DNA Ur Ql NAA+probe
52768-9	CFT Bld TEG
52770-5	CFT.extrinsic Bld ROTEM
52771-3	CFT.intrinsic Bld ROTEM
42938-1	CFTR allele 1 Bld/T Ql
42939-9	CFTR allele 2 Bld/T Ql
34718-7	CFTR Mut Anl Amn
46989-0	CFTR Mut Anl Amn
38404-0	CFTR Mut Anl Bld/T
21654-9	CFTR Mut Anl Bld/T
21656-4	CFTR Mut Tested Bld/T
21655-6	CFTR p.F508del Bld/T Ql
30169-7	CgA SerPl IA-aCnc
9811-1	CgA SerPl-mCnc
25587-7	CgA SerPl-sCnc
7200-9	C globosum IgE Qn
15620-8	C globosum IgE RAST Ql
13088-0	CH100 SerPl-aCnc
14076-4	CH100 SerPl Ql ID
48496-4	CH50 Act/Nor SerPl
4511-2	CH50 Fld-aCnc
4532-8	CH50 SerPl-aCnc
30131-7	CH50 SerPl-mCnc
48071-5	CH50 Titr SerPl
6057-4	Chamomile IgE Qn
15621-6	Chamomile IgE RAST Ql
49967-3	Charcoal UrnS Ql Micro
57932-6	Cheddar IgE/IgE total %
6067-3	Cheddar IgE Qn
15623-2	Cheddar IgE RAST Ql
7204-1	Cheddar IgG Qn
21178-9	Cheddar IgG RAST Ql
57933-4	Cheese Mold IgE/IgE total %
6068-1	Cheese Mold IgE Qn
15854-3	Cheese Mold IgE RAST Ql
56216-5	Cheese Mold IgG4-mCnc
7496-3	Cheese Mold IgG Qn
44460-4	C herbarum Ab Ql ID
16618-1	C herbarum Ab Qn
6075-6	C herbarum IgE Qn
15642-2	C herbarum IgE RAST Ql
56224-9	C herbarum IgG4-mCnc
26418-4	C herbarum IgG4 RAST Ql
51538-7	C herbarum IgG Ql
7230-6	C herbarum IgG Qn
42893-8	C herbarum IgG Ser-mCnc
28552-8	C herbarum IgM Qn
6719-9	Cherry IgE Qn
15628-1	Cherry IgE RAST Ql
7217-3	Cherry IgG Qn
21181-3	Cherry IgG RAST Ql
6259-6	Chestnut IgE Qn
15629-9	Chestnut IgE RAST Ql
56396-5	Chestnut IgG4-mCnc
6069-9	Chestnut Poln IgE Qn
15632-3	Chestnut Poln IgE RAST Ql
19734-3	Chicken Drop IgE Qn
25586-9	Chicken Drop IgE RAST Ql
6070-7	Chicken Feather IgE Qn
15633-1	Chicken Feather IgE RAST Ql
51546-0	Chicken Feather IgG Ql
7224-9	Chicken Feather IgG Qn
38465-1	Chicken IgE/IgE total %
40879-9	Chicken IgE Qn
35532-1	Chicken IgG-mCnc
7222-3	Chicken IgG Qn
21182-1	Chicken IgG RAST Ql
40843-5	Chicken Meat IgE/IgE total %
6071-5	Chicken Meat IgE Qn
15634-9	Chicken Meat IgE RAST Ql
21183-9	Chicken Meat IgG RAST Ql
31291-8	Chicken Serum Ab Ql
6836-1	Chicken Serum Prot IgE Qn
23837-8	Chicken Serum Prot IgE RAST Ql
38466-9	Chicken Serum Prot IgG Ql
7573-9	Chick Pea IgE Qn
15915-2	Chick Pea IgE RAST Ql
26623-9	CHIKV Ab Ser Ql
43064-5	CHIKV Ab Titr Ser
40505-0	CHIKV Ab Titr Ser HAI
83068-7	CHIKV E1+E2 IgG SerPl IA-aCnc
82297-3	CHIKV E1+E2 IgG Ser Ql IA
83067-9	CHIKV E1+E2 IgM SerPl IA-aCnc
97866-8	CHIKV IgG SerPl IA-aCnc
93979-3	CHIKV IgG SerPl Ql
88630-9	CHIKV IgG SerPl Ql IA
56129-0	CHIKV IgG SerPl Ql IF
95672-2	CHIKV IgG Spec Ql IA
56128-2	CHIKV IgG Titr SerPl IF
97867-6	CHIKV IgM SerPl IA-aCnc
57934-2	CHIKV IgM SerPl Ql
88629-1	CHIKV IgM SerPl Ql IA
56131-6	CHIKV IgM SerPl Ql IF
95687-0	CHIKV IgM Spec Ql IA
56130-8	CHIKV IgM Titr SerPl IF
81153-9	CHIKV nsP1 RNA CSF Ql NAA+probe
81152-1	CHIKV nsP1 RNA Ser Ql NAA+probe
86514-7	CHIKV RNA Amn Ql NAA+probe
85583-3	CHIKV RNA Plas Donr Ql NAA+probe
60260-7	CHIKV RNA SerPl Ql NAA+probe
51664-1	CHIKV RNA Spec Ql NAA+probe
86515-4	CHIKV RNA Ur Ql NAA+probe
7591-1	Chili Pepper IgE Qn
15927-7	Chili Pepper IgE RAST Ql
30987-2	Chinchilla Epith IgE Qn
51551-0	Chinchilla Epith IgE RAST Ql
11165-8	Chinchilla IgE Qn
15636-4	Chinchilla IgE RAST Ql
5082-3	Chlamydia Ab Ser IA-aCnc
16589-4	Chlamydia Ab Ser IF-aCnc
22182-0	Chlamydia Ab Titr Ser
5084-9	Chlamydia Ab Titr Ser IF
45104-7	Chlamydia Ag Anal Ql IA
45103-9	Chlamydia Ag Anal Ql IF
6343-8	Chlamydia Ag Conjunct Ql IA
45106-2	Chlamydia Ag Cvx Ql IA
6347-9	Chlamydia Ag Spec Ql IA
20757-1	Chlamydia Ag Tiss Ql IF
45113-8	Chlamydia Ag Urth Ql IA
45115-3	Chlamydia Ag Urth Ql IF
45097-3	Chlamydia Anal Cult
24005-1	Chlamydia Bronch Cult
556-1	Chlamydia Conjunct Cult
45098-1	Chlamydia Cvx Cult
32774-2	Chlamydia DNA Genital Ql NAA+probe
35729-3	Chlamydia DNA Spec Ql NAA+probe
35727-7	Chlamydia DNA Urth Ql NAA+probe
45099-9	Chlamydia Fld Cult
557-9	Chlamydia Genital Cult
25369-0	Chlamydia IgA Ser-aCnc
29677-2	Chlamydia IgA Ser Ql
43063-7	Chlamydia IgA Titr Ser
34264-2	Chlamydia IgA Titr Ser IF
5085-6	Chlamydia IgG Ser-aCnc
33410-2	Chlamydia IgG Ser IA-aCnc
24238-8	Chlamydia IgG sp1 Ser-aCnc
57680-1	Chlamydia IgG sp2 Ser Ql IA
10848-0	Chlamydia IgG Titr Ser IF
16592-8	Chlamydia IgM CSF IF-aCnc
45101-3	Chlamydia Nph Cult
35736-8	Chlamydia rRNA Nph Ql Probe
35730-1	Chlamydia rRNA Spec Ql Probe
35726-9	Chlamydia rRNA Ur Ql Probe
35728-5	Chlamydia rRNA Urth Ql Probe
560-3	Chlamydia Spec Cult
6348-7	Chlamydia Spt Cult
558-7	Chlamydia Throat Cult
559-5	Chlamydia Urth Cult
45100-5	Chlamydia Vag Cult
43846-5	Chlamydophila Ab Ser-Imp
4071-7	Chloral Hydrate Bld-mCnc
44305-1	Chloral Hydrate/Creat Ur
3042-9	Chloral Hydrate SerPl-mCnc
35119-7	Chloral Hydrate SerPl Ql
55528-4	Chloral Hydrate SerPl-sCnc
4072-5	Chloral Hydrate Ur-mCnc
17738-6	Chloral Hydrate Ur Ql
17739-4	Chloral Hydrate Ur Ql Cfm
6072-3	Chloramin T IgE Qn
15637-2	Chloramin T IgE RAST Ql
7001-1	Chloramphen Islt Grad strip
174-3	Chloramphen Islt KB
173-5	Chloramphen Islt MIC
172-7	Chloramphen Islt MLC
15101-9	Chloramphen SerPl-sCnc
18903-5	Chloramphen Susc Islt
175-0	Chloramphen Titr SBT
29346-4	Chloramphen Ur-mCnc
4175-6	Chlordiazep Dose
26938-1	Chlordiazep Mec-mCnt
3457-9	Chlordiazep SerPl-mCnc
3459-5	Chlordiazep Ur-mCnc
3458-7	Chlordiazep Ur Ql
26900-1	Chlordiazep Vitf-mCnc
9742-8	Chloride 24h Stl-sRate
21194-6	Chloride 24h Ur-sCnc
2079-2	Chloride 24h Ur-sRate
41650-3	Chloride BldA-sCnc
51590-8	Chloride BldC-sCnc
2069-3	Chloride Bld-sCnc
41649-5	Chloride BldV-sCnc
13721-6	Chloride/Creat 24h Ur
53640-9	Chloride/Creat 24h Ur-Rto
34265-9	Chloride/Creat Ur-sRto
2070-1	Chloride CSF-sCnc
39467-6	Chloride DiafP-sCnc
2071-9	Chloride Dial fld-sCnc
2072-7	Chloride Fld-sCnc
54369-4	Chloride p dialysis SerPl-sCnc
2075-0	Chloride SerPl-sCnc
32307-1	Chloride Spec-sCnc
15158-9	Chloride Stl-sCnc
2076-8	Chloride Stl-sCnt
2077-6	Chloride Sweat-sCnc
2078-4	Chloride Ur-sCnc
12898-3	Chloride Vitf-sCnc
32060-6	Chloroquine SerPl-sCnc
3471-0	chlorproMAZINE SerPl-mCnc
3473-6	chlorproMAZINE Ur-mCnc
19395-3	chlorproMAZINE Ur Ql Scn
55655-5	Chlortetracycline Islt Grad strip
178-4	Chlortetracycline Islt KB
177-6	Chlortetracycline Islt MIC
176-8	Chlortetracycline Islt MLC
18904-3	Chlortetracycline Susc Islt
179-2	Chlortetracycline Titr SBT
25609-9	Chocineal IgE Qn
25610-7	Chocineal IgE RAST Ql
57935-9	Chocolate IgE/IgE total %
6073-1	Chocolate IgE Qn
25370-8	Chocolate IgE RAST Ql
35554-5	Chocolate IgG-mCnc
21196-1	Chocolate IgG RAST Ql
48089-7	Cholest/Apo B SerPl-sRto
25153-8	Cholest Cry #/area UrnS HPF
5777-8	Cholest Cry UrnS Ql Micro
12183-0	Cholest Fld-mCnc
29765-5	Cholest Fld-sCnc
9830-1	Cholest/HDLc SerPl
32309-7	Cholest/HDLc SerPl-sRto
16615-7	Cholest/LDLc SerPl
56912-9	Cholest Pcar-mCnc
9618-0	Cholest Plr-mCnc
39468-4	Cholest Plr-sCnc
14441-0	Cholest Prt-mCnc
54371-0	Cholest Prt-sCnc
2093-3	Cholest SerPl-mCnc
14647-2	Cholest SerPl-sCnc
14443-6	Cholest Snv-mCnc
32308-9	Cholest Spec-sCnc
11154-2	Cholinesterase Bld-cCnc
49851-9	Cholinesterase Prt-cCnc
2099-0	Cholinesterase RBC-cCnc
49231-4	Cholinesterase RBC-cCnt
2098-2	Cholinesterase SerPl-cCnc
41433-4	C hominis DNA Spec Ql NAA+probe
2104-8	Choriomammotropin Ser-mCnc
40417-8	Chromium 24h Ur-sRate
15118-3	Chromium Bld-sCnc
13464-3	Chromium/Creat Ur
47098-9	Chromium Fld-sCnc
50841-6	Chromium RBC-sCnc
5622-6	Chromium SerPl-mCnc
25374-0	Chromium SerPl-sCnc
9690-9	Chromium Spec-mCnc
20759-7	Chromium Tiss-mCnt
52891-9	Chromium Tiss-sCnt
30923-7	Chromium ?Tm Ur-mCnc
42219-6	Chromium Ur-sCnc
9469-8	Chromium Wat-mCnc
